,NtotDose,PtotDose,KtotDose,pspe_knn,pspe_rf,pspe_nn,pspe_gp
15,15.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0720886144280701,1.0830190214812254,1.0801639865284336
16,16.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0720886144280701,1.0830466520846858,1.0801754025672348
17,17.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0720886144280701,1.0830738792320473,1.0801867186407081
18,18.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0720886144280701,1.083100700015572,1.0801979329216442
19,19.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0720886144280701,1.0831271116004735,1.0802090435976681
20,20.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0720886144280701,1.0831531112287434,1.0802200488719078
21,21.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0720886144280701,1.0831786962230474,1.0802309469636522
22,22.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0720886144280701,1.083203863990682,1.0802417361090033
23,23.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0720886144280701,1.0832286120275916,1.0802524145615213
24,24.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0720886144280701,1.0832529379224367,1.0802629805928585
25,25.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0720886144280701,1.0832768393607095,1.0802734324933876
26,26.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0750515591741228,1.0833003141288895,1.0802837685728175
27,27.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0750515591741228,1.0833233601186305,1.0802939871608
28,28.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0750515591741228,1.083345975330975,1.080304086607526
29,29.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0750515591741228,1.0833681578805847,1.08031406528431
30,30.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0750515591741228,1.08338990599998,1.0803239215841631
31,31.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0750515591741228,1.0834112180437807,1.0803336539223538
32,32.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0750515591741228,1.0834320924929342,1.080343260736955
33,33.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0750515591741228,1.083452527958928,1.080352740489379
34,34.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0750515591741228,1.083472523187969,1.0803620916648986
35,35.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0750515591741228,1.0834920770651242,1.0803713127731538
36,36.0,0.04348870876571277,-0.7372605537895305,1.0781374810526316,1.0750515591741228,1.0835111886184083,1.0803804023486439
37,37.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.0835298570228082,1.080389358951204
38,38.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.0835480816042309,1.0803981811664678
39,39.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.0835658618433646,1.0804068676063137
40,40.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.0835831973794379,1.0804154169092937
41,41.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.083600088013865,1.080423827741049
42,42.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.0836165337137642,1.0804320987947051
43,43.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.0836325346153357,1.0804402287912536
44,44.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.083648091027084,1.0804482164799136
45,45.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.083663203432874,1.0804560606384779
46,46.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.0836778724948024,1.080463760073641
