DensitePlants,growing.season,temp_moy_5years,prec_tot_5years,sdi_5years,gdd_5years,NtotDose,PtotDose,KtotDose,soilTextIlr1,soilTextIlr2,soilTextIlr3,soilTypeIlr1_3,soilTypeIlr2_3,soil_pH,soil_P1_Fv.AlP,soil_P1_Al.P,soil_K2_FvMgCa.K,soil_K2_Fv.MgCa,soil_K2_Mg.Ca
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,-2.2743015628462393,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.44143656504601997,-1.0369553289462066,1.663583182440431,0.019265293729955654,-0.21860792219355613,-0.3274948302499115
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,-1.100398390424669,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.44143656504601997,-1.0369553289462066,1.663583182440431,0.019265293729955654,-0.21860792219355613,-0.3274948302499115
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,-0.5972970308154246,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.44143656504601997,-1.0369553289462066,1.663583182440431,0.019265293729955654,-0.21860792219355613,-0.3274948302499115
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,-0.09419567120618023,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.44143656504601997,-1.0369553289462066,1.663583182440431,0.019265293729955654,-0.21860792219355613,-0.3274948302499115
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,0.4089056884030641,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.44143656504601997,-1.0369553289462066,1.663583182440431,0.019265293729955654,-0.21860792219355613,-0.3274948302499115
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,0.9120070480123085,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.44143656504601997,-1.0369553289462066,1.663583182440431,0.019265293729955654,-0.21860792219355613,-0.3274948302499115
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,1.4151084076215528,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.44143656504601997,-1.0369553289462066,1.663583182440431,0.019265293729955654,-0.21860792219355613,-0.3274948302499115
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,1.9182097672307972,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.44143656504601997,-1.0369553289462066,1.663583182440431,0.019265293729955654,-0.21860792219355613,-0.3274948302499115
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,-2.2743015628462393,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.32673492599313897,-1.161804715198662,1.7675151477133153,-0.2302909688365134,0.029678540446719505,0.21375498825042902
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,-1.100398390424669,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.32673492599313897,-1.161804715198662,1.7675151477133153,-0.2302909688365134,0.029678540446719505,0.21375498825042902
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,-0.5972970308154246,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.32673492599313897,-1.161804715198662,1.7675151477133153,-0.2302909688365134,0.029678540446719505,0.21375498825042902
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,-0.09419567120618023,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.32673492599313897,-1.161804715198662,1.7675151477133153,-0.2302909688365134,0.029678540446719505,0.21375498825042902
-1.0384864199301762,0.08981799649968607,-0.08662005507147984,-0.08568288305551872,-0.3302243193332256,0.17362453108877943,0.4089056884030641,1.2235791747030693,0.5859255507375557,-0.46320124491402503,1.4481561731914774,-0.23499238077000328,-0.422052044352853,-1.3130226541421137,-0.32673492599313897,-1.161804715198662,1.7675151477133153,-0.2302909688365134,0.029678540446719505,0.21375498825042902
