,NtotDose,PtotDose,KtotDose,ilr_knn,ilr_rf,ilr_nn,ilr_gp
0,0.0,-0.17139528383314787,-0.8358808329727005,-2.987720043953649,-3.610085732781938,-3.4682877675376034,-2.999734368639111
1,1.0,-0.17139528383314787,-0.8358808329727005,-2.987720043953649,-3.610085732781938,-3.4591795829638334,-2.9899593608801744
2,2.0,-0.17139528383314787,-0.8358808329727005,-2.987720043953649,-3.610085732781938,-3.4500983375117995,-2.9801864115359957
3,3.0,-0.17139528383314787,-0.8358808329727005,-2.987720043953649,-3.610085732781938,-3.4410440895030288,-2.9704174561995664
4,4.0,-0.17139528383314787,-0.8358808329727005,-2.987720043953649,-3.610085732781938,-3.432016889908555,-2.960654413118325
5,5.0,-0.17139528383314787,-0.8358808329727005,-2.947210965943526,-3.610085732781938,-3.4230167823228568,-2.950899181722027
6,6.0,-0.17139528383314787,-0.8358808329727005,-2.947210965943526,-3.610085732781938,-3.4140438029408227,-2.941153641152881
7,7.0,-0.17139528383314787,-0.8358808329727005,-2.947210965943526,-3.610085732781938,-3.4050979805377777,-2.9314196487948148
8,8.0,-0.17139528383314787,-0.8358808329727005,-2.947210965943526,-3.610085732781938,-3.396179336452507,-2.921699038811225
9,9.0,-0.17139528383314787,-0.8358808329727005,-2.947210965943526,-3.610085732781938,-3.387287884573319,-2.9119936206857497
10,10.0,-0.17139528383314787,-0.8358808329727005,-2.947210965943526,-3.610085732781938,-3.3784236313271263,-2.9023051777714524
11,11.0,-0.17139528383314787,-0.8358808329727005,-2.947210965943526,-3.610085732781938,-3.3695865756715078,-2.892635465851334
12,12.0,-0.17139528383314787,-0.8358808329727005,-2.950209136195502,-3.610085732781938,-3.36077670908979,-2.8829862117071587
13,13.0,-0.17139528383314787,-0.8358808329727005,-2.950209136195502,-3.610085732781938,-3.351994015589094,-2.873359111703591
14,14.0,-0.17139528383314787,-0.8358808329727005,-2.950209136195502,-3.610085732781938,-3.343238471701357,-2.8637558303864665
15,15.0,-0.17139528383314787,-0.8358808329727005,-2.950209136195502,-3.610085732781938,-3.334510046487308,-2.8541779990987557
16,16.0,-0.17139528383314787,-0.8358808329727005,-2.950209136195502,-3.610085732781938,-3.3258087015433873,-2.8446272146128972
17,17.0,-0.17139528383314787,-0.8358808329727005,-2.950209136195502,-3.610085732781938,-3.3171343910115922,-2.8351050377856635
18,18.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.5699431356167564,-3.3084870615922246,-2.825612992233752
19,19.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.5699431356167564,-3.2998666525595484,-2.816152563035377
20,20.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.5699431356167564,-3.291273095780304,-2.8067251954545758
21,21.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.5699431356167564,-3.282706315735094,-2.7973322936958156
22,22.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.5699431356167564,-3.274166229542602,-2.787975219687116
23,23.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.5699431356167564,-3.2656527469866297,-2.7786552918941174
24,24.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.5699431356167564,-3.2571657705459307,-2.7693737841666564
25,25.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.5699431356167564,-3.248705195426826,-2.7601319246208114
26,26.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.240270909598569,-2.7509308945574356
27,27.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.2318627938314544,-2.741771827417104
28,28.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.2234807217376193,-2.7326558077765495
29,29.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.2151245598145533,-2.72358387038529
30,30.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.206794167491248,-2.714556999245006
