,tsizeS_M,KtotDose,K,Sample
3155,1.0497712327705555,0.0,0.0,320
3156,0.7754401339137065,40.0,33.199999999999996,320
3157,0.8443621182962812,80.0,66.39999999999999,320
3158,0.7532075211181213,120.0,99.6,320
3159,0.9059008900668196,220.0,182.6,320
3160,0.9315075045903684,300.0,249.0,320
3161,1.1559468553627699,0.0,0.0,320
3162,1.2365216316724066,40.0,33.199999999999996,320
3163,1.0121413087167177,80.0,66.39999999999999,320
3164,1.222882020488563,120.0,99.6,320
3165,0.9697153549450483,220.0,182.6,320
3166,1.2022529678323246,300.0,249.0,320
3167,1.0957714920201391,0.0,0.0,320
3168,1.1141987700179328,40.0,33.199999999999996,320
3169,0.9145353171051528,80.0,66.39999999999999,320
3170,1.089259134498918,120.0,99.6,320
3171,1.403881996899088,220.0,182.6,320
3172,1.1613993099080524,300.0,249.0,320
