,NtotDose,PtotDose,KtotDose,Output,Target
k-nearest neighbors,162.9827,53.276802,3.2369999999999997,1.0875,SG
Random forest,153.7496,85.192438,204.81943199999998,1.09,SG
Neural networks,28.0069,92.3813804,206.98531699999998,1.0919,SG
Gaussian processes,81.1011,82.6386988,166.16765999999998,1.0871,SG
