,NtotDose,PtotDose,KtotDose,K,pspe_knn,pspe_rf,pspe_nn,pspe_gp
0,0.015131281216911164,-1.2365409149572766,0.0,0.0,1.0773702334736843,1.075724708368421,1.0781442123468519,1.0796074648186642
1,0.015131281216911164,-1.2365409149572766,1.0,0.83,1.0773702334736843,1.075724708368421,1.0781075264808615,1.0795990823638357
2,0.015131281216911164,-1.2365409149572766,2.0,1.66,1.0773702334736843,1.075724708368421,1.0780708599268116,1.0795906544888196
3,0.015131281216911164,-1.2365409149572766,3.0,2.4899999999999998,1.0773702334736843,1.075724708368421,1.0780342137638317,1.079582181548233
4,0.015131281216911164,-1.2365409149572766,4.0,3.32,1.0773702334736843,1.075724708368421,1.077997589078242,1.0795736639005145
5,0.015131281216911164,-1.2365409149572766,5.0,4.1499999999999995,1.0773702334736843,1.075724708368421,1.0779609869633426,1.0795651019078887
6,0.015131281216911164,-1.2365409149572766,6.0,4.9799999999999995,1.0773702334736843,1.075724708368421,1.077924408519195,1.0795564959363297
7,0.015131281216911164,-1.2365409149572766,7.0,5.81,1.0773702334736843,1.075724708368421,1.0778878548523998,1.0795478463555228
8,0.015131281216911164,-1.2365409149572766,8.0,6.64,1.0773702334736843,1.075724708368421,1.0778513270758643,1.0795391535388277
9,0.015131281216911164,-1.2365409149572766,9.0,7.47,1.0773702334736843,1.075724708368421,1.0778148263085647,1.0795304178632392
10,0.015131281216911164,-1.2365409149572766,10.0,8.299999999999999,1.0773702334736843,1.075724708368421,1.0777783536753012,1.0795216397093486
11,0.015131281216911164,-1.2365409149572766,11.0,9.129999999999999,1.0773702334736843,1.075724708368421,1.0777419103064454,1.0795128194613042
12,0.015131281216911164,-1.2365409149572766,12.0,9.959999999999999,1.0773702334736843,1.075724708368421,1.0777054973376827,1.0795039575067704
13,0.015131281216911164,-1.2365409149572766,13.0,10.79,1.0773702334736843,1.075724708368421,1.0776691159097458,1.0794950542368869
14,0.015131281216911164,-1.2365409149572766,14.0,11.62,1.0773702334736843,1.075724708368421,1.0776327671681434,1.0794861100462274
15,0.015131281216911164,-1.2365409149572766,15.0,12.45,1.0773702334736843,1.075724708368421,1.077596452262881,1.0794771253327577
16,0.015131281216911164,-1.2365409149572766,16.0,13.28,1.0773702334736843,1.075724708368421,1.0775601723481747,1.0794681004977924
17,0.015131281216911164,-1.2365409149572766,17.0,14.11,1.0773702334736843,1.075724708368421,1.0775239285821612,1.0794590359459522
18,0.015131281216911164,-1.2365409149572766,18.0,14.94,1.0773702334736843,1.075724708368421,1.0774877221265977,1.0794499320851194
19,0.015131281216911164,-1.2365409149572766,19.0,15.77,1.0773702334736843,1.075724708368421,1.0774515541465584,1.0794407893263938
20,0.015131281216911164,-1.2365409149572766,20.0,16.599999999999998,1.0773702334736843,1.075724708368421,1.0774154258101227,1.0794316080840476
21,0.015131281216911164,-1.2365409149572766,21.0,17.43,1.0771517222105262,1.0764000779473684,1.0773793382880588,1.0794223887754795
22,0.015131281216911164,-1.2365409149572766,22.0,18.259999999999998,1.0771517222105262,1.0764000779473684,1.0773432927534992,1.0794131318211695
23,0.015131281216911164,-1.2365409149572766,23.0,19.09,1.0771517222105262,1.0764000779473684,1.077307290381613,1.0794038376446307
24,0.015131281216911164,-1.2365409149572766,24.0,19.919999999999998,1.0771517222105262,1.0764000779473684,1.0772713323492693,1.0793945066723623
25,0.015131281216911164,-1.2365409149572766,25.0,20.75,1.0771517222105262,1.0764000779473684,1.0772354198346972,1.0793851393338032
26,0.015131281216911164,-1.2365409149572766,26.0,21.58,1.0771517222105262,1.0764000779473684,1.0771995540171377,1.0793757360612815
27,0.015131281216911164,-1.2365409149572766,27.0,22.41,1.0771517222105262,1.0764000779473684,1.077163736076493,1.0793662972899665
28,0.015131281216911164,-1.2365409149572766,28.0,23.24,1.0771517222105262,1.0764000779473684,1.077127967192967,1.0793568234578197
29,0.015131281216911164,-1.2365409149572766,29.0,24.07,1.0771517222105262,1.0764000779473684,1.0770922485467025,1.079347315005544
30,0.015131281216911164,-1.2365409149572766,30.0,24.9,1.0771517222105262,1.0764000779473684,1.0770565813174133,1.0793377723765334
31,0.015131281216911164,-1.2365409149572766,31.0,25.73,1.0771517222105262,1.0764633732631579,1.0770209666840098,1.079328196016822
32,0.015131281216911164,-1.2365409149572766,32.0,26.56,1.0771517222105262,1.0764633732631579,1.0769854058242196,1.079318586375032
33,0.015131281216911164,-1.2365409149572766,33.0,27.389999999999997,1.0771517222105262,1.0764633732631579,1.0769498999142053,1.0793089439023236
34,0.015131281216911164,-1.2365409149572766,34.0,28.22,1.0771517222105262,1.0764633732631579,1.076914450128175,1.0792992690523397
35,0.015131281216911164,-1.2365409149572766,35.0,29.049999999999997,1.0771517222105262,1.0764633732631579,1.0768790576379896,1.079289562281155
36,0.015131281216911164,-1.2365409149572766,36.0,29.88,1.0771517222105262,1.0764633732631579,1.076843723612765,1.0792798240472214
37,0.015131281216911164,-1.2365409149572766,37.0,30.709999999999997,1.0771517222105262,1.0764633732631579,1.0768084492184709,1.0792700548113159
38,0.015131281216911164,-1.2365409149572766,38.0,31.54,1.0771517222105262,1.0764633732631579,1.0767732356175232,1.0792602550364843
39,0.015131281216911164,-1.2365409149572766,39.0,32.37,1.0771517222105262,1.0764633732631579,1.0767380839683764,1.0792504251879877
40,0.015131281216911164,-1.2365409149572766,40.0,33.199999999999996,1.0771517222105262,1.0764633732631579,1.0767029954251073,1.0792405657332476
41,0.015131281216911164,-1.2365409149572766,41.0,34.03,1.0771517222105262,1.0767477212105263,1.076667971136998,1.0792306771417897
