NoEssai,NoBloc,NoTraitement,ID,ID_bl,NtotDose,PtotDose,KtotDose,test_type,RendVendable
15,3,2,15-3-2,15-3,50,215,215,N,26.28655973
15,3,3,15-3-3,15-3,100,215,215,N,36.9110094
15,3,4,15-3-4,15-3,125,215,215,N,43.46474295
15,3,5,15-3-5,15-3,150,215,215,N,40.4684094
15,3,6,15-3-6,15-3,175,215,215,N,35.16812215
16,1,1,16-1-1,16-1,0,215,215,N,22.53815839
16,1,2,16-1-2,16-1,50,215,215,N,36.52900671
16,1,3,16-1-3,16-1,100,215,215,N,41.69798054
16,1,4,16-1-4,16-1,125,215,215,N,45.10019195
16,1,5,16-1-5,16-1,150,215,215,N,36.83938389
16,1,6,16-1-6,16-1,175,215,215,N,37.84214094
16,2,1,16-2-1,16-2,0,215,215,N,21.82190336
16,2,2,16-2-2,16-2,50,215,215,N,38.6897094
16,2,3,16-2-3,16-2,100,215,215,N,50.87798255
16,2,4,16-2-4,16-2,125,215,215,N,46.84307919
16,2,5,16-2-5,16-2,150,215,215,N,47.70258523
16,2,6,16-2-6,16-2,175,215,215,N,40.20578255
16,3,1,16-3-1,16-3,0,215,215,N,30.15433691
16,3,2,16-3-2,16-3,50,215,215,N,49.27834631
16,3,3,16-3-3,16-3,100,215,215,N,51.08092148
16,3,4,16-3-4,16-3,125,215,215,N,51.33161074
16,3,5,16-3-5,16-3,150,215,215,N,53.2893745
16,3,6,16-3-6,16-3,175,215,215,N,44.01387181
17,1,1,17-1-1,17-1,0,215,215,N,21.57121409
17,1,2,17-1-2,17-1,50,215,215,NPK,29.06801678
17,1,3,17-1-3,17-1,100,215,215,NPK,39.1314
17,1,4,17-1-4,17-1,125,215,215,NPK,39.4298396
17,1,5,17-1-5,17-1,150,215,215,NPK,39.51340268
17,1,6,17-1-6,17-1,175,215,215,NPK,38.0212047
17,1,7,17-1-7,17-1,150,0,215,NPK,16.66486711
17,1,8,17-1-8,17-1,150,107.5,215,NPK,42.41423557
17,1,9,17-1-9,17-1,150,215,215,NPK,29.30676846
17,2,1,17-2-1,17-2,0,215,215,NPK,21.17727383
17,2,2,17-2-2,17-2,50,215,215,NPK,32.30310201
17,2,3,17-2-3,17-2,100,215,215,NPK,33.84305034
17,2,4,17-2-4,17-2,125,215,215,NPK,37.07813557
17,2,5,17-2-5,17-2,150,215,215,NPK,38.84489799
17,2,6,17-2-6,17-2,175,215,215,NPK,31.41972081
17,2,7,17-2-7,17-2,150,0,215,NPK,21.54733893
17,2,8,17-2-8,17-2,150,107.5,215,NPK,36.15894161
17,2,9,17-2-9,17-2,150,215,215,NPK,34.63093087
17,3,1,17-3-1,17-3,0,215,215,NPK,20.32970537
17,3,2,17-3-2,17-3,50,215,215,NPK,34.33249128
17,3,3,17-3-3,17-3,100,215,215,NPK,38.4628953
17,3,4,17-3-4,17-3,125,215,215,NPK,40.25353289
17,3,5,17-3-5,17-3,150,215,215,NPK,42.59329933
17,3,6,17-3-6,17-3,175,215,215,NPK,39.75215436
17,3,7,17-3-7,17-3,150,0,215,NPK,20.71170805
17,3,8,17-3-8,17-3,150,107.5,215,NPK,33.25810872
17,3,9,17-3-9,17-3,150,215,215,NPK,30.81090403
18,1,1,18-1-1,18-1,0,215,215,N,18.36000403
18,1,2,18-1-2,18-1,50,215,215,N,30.6079651
18,1,3,18-1-3,18-1,100,215,215,N,37.4243255
18,1,4,18-1-4,18-1,125,215,215,N,42.21129664
18,1,5,18-1-5,18-1,150,215,215,N,39.96703087
18,1,6,18-1-6,18-1,175,215,215,N,39.76409195
18,2,1,18-2-1,18-2,0,215,215,N,20.3058302
18,2,2,18-2-2,18-2,50,215,215,N,28.70988926
18,2,3,18-2-3,18-2,100,215,215,N,40.18190738
18,2,4,18-2-4,18-2,125,215,215,N,41.47116644
18,2,5,18-2-5,18-2,150,215,215,N,41.19660201
18,2,6,18-2-6,18-2,175,215,215,N,43.98999664
18,3,1,18-3-1,18-3,0,215,215,N,19.97157785
18,3,2,18-3-2,18-3,50,215,215,N,29.82008456
18,3,3,18-3-3,18-3,100,215,215,N,40.56391007
18,3,4,18-3-4,18-3,125,215,215,N,39.68052886
18,3,5,18-3-5,18-3,150,215,215,N,44.82562752
18,3,6,18-3-6,18-3,175,215,215,N,39.75215436
