,NtotDose,PtotDose,KtotDose,K,ilr_knn,ilr_rf,ilr_nn,ilr_gp
0,0.14125421017441442,-1.4196424282569138,0.0,0.0,-2.449552792991735,-1.3632839250191628,-3.130607973421684,-2.139881173834513
1,0.14125421017441442,-1.4196424282569138,1.0,0.83,-2.449552792991735,-1.3632839250191628,-3.1330996600397425,-2.139320598578025
2,0.14125421017441442,-1.4196424282569138,2.0,1.66,-2.449552792991735,-1.3632839250191628,-3.135584105949992,-2.1387496143882165
3,0.14125421017441442,-1.4196424282569138,3.0,2.4899999999999998,-2.449552792991735,-1.3632839250191628,-3.138061198031366,-2.138168207538535
4,0.14125421017441442,-1.4196424282569138,4.0,3.32,-2.449552792991735,-1.3632839250191628,-3.140530822037972,-2.1375763639907848
5,0.14125421017441442,-1.4196424282569138,5.0,4.1499999999999995,-2.449552792991735,-1.3632839250191628,-3.1429928626147223,-2.136974069408862
6,0.14125421017441442,-1.4196424282569138,6.0,4.9799999999999995,-2.449552792991735,-1.3632839250191628,-3.1454472033134255,-2.1363613091725977
7,0.14125421017441442,-1.4196424282569138,7.0,5.81,-2.449552792991735,-1.3632839250191628,-3.1478937266093734,-2.135738068393932
8,0.14125421017441442,-1.4196424282569138,8.0,6.64,-2.449552792991735,-1.3632839250191628,-3.15033231391837,-2.1351043319318306
9,0.14125421017441442,-1.4196424282569138,9.0,7.47,-2.449552792991735,-1.3632839250191628,-3.152762845614265,-2.13446008440958
10,0.14125421017441442,-1.4196424282569138,10.0,8.299999999999999,-2.449552792991735,-1.3632839250191628,-3.155185201046911,-2.1338053102324426
11,0.14125421017441442,-1.4196424282569138,11.0,9.129999999999999,-2.449552792991735,-1.3632839250191628,-3.1575992585606105,-2.133139993605438
12,0.14125421017441442,-1.4196424282569138,12.0,9.959999999999999,-2.449552792991735,-1.3632839250191628,-3.1600048955130147,-2.1324641185527264
13,0.14125421017441442,-1.4196424282569138,13.0,10.79,-2.449552792991735,-1.3632839250191628,-3.1624019882944516,-2.131777668937333
14,0.14125421017441442,-1.4196424282569138,14.0,11.62,-2.449552792991735,-1.3632839250191628,-3.16479041234772,-2.131080628481159
15,0.14125421017441442,-1.4196424282569138,15.0,12.45,-2.449552792991735,-1.3632839250191628,-3.167170042188329,-2.1303729807868255
16,0.14125421017441442,-1.4196424282569138,16.0,13.28,-2.348680498635792,-1.3632839250191628,-3.1695407514251484,-2.129654709359075
17,0.14125421017441442,-1.4196424282569138,17.0,14.11,-2.3486804986357925,-1.3632839250191628,-3.171902412781514,-2.128925797627411
18,0.14125421017441442,-1.4196424282569138,18.0,14.94,-2.348680498635792,-1.3632839250191628,-3.1742548981167458,-2.128186228969338
19,0.14125421017441442,-1.4196424282569138,19.0,15.77,-2.348680498635792,-1.3632839250191628,-3.176598078448081,-2.127435986734353
20,0.14125421017441442,-1.4196424282569138,20.0,16.599999999999998,-2.348680498635792,-1.3632839250191628,-3.1789318239730355,-2.1266750542682464
21,0.14125421017441442,-1.4196424282569138,21.0,17.43,-2.3486804986357925,-1.3565036068695921,-3.181256004092152,-2.125903414938217
22,0.14125421017441442,-1.4196424282569138,22.0,18.259999999999998,-2.3486804986357925,-1.3565036068695921,-3.1835704874321578,-2.1251210521587565
23,0.14125421017441442,-1.4196424282569138,23.0,19.09,-2.3486804986357925,-1.3565036068695921,-3.18587514186952,-2.124327949417637
24,0.14125421017441442,-1.4196424282569138,24.0,19.919999999999998,-2.3486804986357925,-1.3565036068695921,-3.188169834554376,-2.1235240903030186
25,0.14125421017441442,-1.4196424282569138,25.0,20.75,-2.3486804986357925,-1.3565036068695921,-3.1904544319348473,-2.1227094585304807
26,0.14125421017441442,-1.4196424282569138,26.0,21.58,-2.3486804986357925,-1.3565036068695921,-3.1927287997817246,-2.121884037971247
27,0.14125421017441442,-1.4196424282569138,27.0,22.41,-2.348680498635792,-1.3565036068695921,-3.1949928032135237,-2.121047812680335
28,0.14125421017441442,-1.4196424282569138,28.0,23.24,-2.348680498635792,-1.3565036068695921,-3.1972463067218806,-2.1202007669249845
29,0.14125421017441442,-1.4196424282569138,29.0,24.07,-2.348680498635792,-1.3565036068695921,-3.199489174197316,-2.119342885214372
30,0.14125421017441442,-1.4196424282569138,30.0,24.9,-2.348680498635792,-1.3565036068695921,-3.2017212689553185,-2.118474152329242
31,0.14125421017441442,-1.4196424282569138,31.0,25.73,-2.348680498635792,-1.3565036068695921,-3.2039424537627825,-2.117594553351399
32,0.14125421017441442,-1.4196424282569138,32.0,26.56,-2.348680498635792,-1.3565036068695921,-3.2061525908647557,-2.1167040736943954
33,0.14125421017441442,-1.4196424282569138,33.0,27.389999999999997,-2.348680498635792,-1.3565036068695921,-3.2083515420114956,-2.115802699134124
34,0.14125421017441442,-1.4196424282569138,34.0,28.22,-2.348680498635792,-1.3565036068695921,-3.210539168485857,-2.114890415839869
35,0.14125421017441442,-1.4196424282569138,35.0,29.049999999999997,-2.348680498635792,-1.3565036068695921,-3.2127153311309513,-2.1139672104051637
36,0.14125421017441442,-1.4196424282569138,36.0,29.88,-2.348680498635792,-1.3565036068695921,-3.2148798903781124,-2.1130330698793505
37,0.14125421017441442,-1.4196424282569138,37.0,30.709999999999997,-2.348680498635792,-1.3565036068695921,-3.217032706275133,-2.112087981799641
38,0.14125421017441442,-1.4196424282569138,38.0,31.54,-2.348680498635792,-1.3565036068695921,-3.2191736385147807,-2.1111319342220902
39,0.14125421017441442,-1.4196424282569138,39.0,32.37,-2.14187541515638,-1.3565036068695921,-3.2213025464635647,-2.110164915754054
