,NtotDose,PtotDose,KtotDose,ilr_knn,ilr_rf,ilr_nn,ilr_gp
0,0.0,-0.17139528383314787,-0.8358808329727005,1.234544385269696,0.9589483492918415,0.8717310463096075,0.9602390997687935
1,1.0,-0.17139528383314787,-0.8358808329727005,1.234519772270581,0.9589483492918415,0.8753696013729773,0.9609029593651868
2,2.0,-0.17139528383314787,-0.8358808329727005,1.2344945024486165,0.9589483492918415,0.8790067250868397,0.9615463501067191
3,3.0,-0.17139528383314787,-0.8358808329727005,1.2344685666008801,0.9589483492918415,0.8826424842500123,0.962168786616262
4,4.0,-0.17139528383314787,-0.8358808329727005,1.2344419557175557,0.9589483492918415,0.886276944658618,0.9627698064023847
5,5.0,-0.17139528383314787,-0.8358808329727005,1.2509149576238265,0.9589483492918415,0.8899101710905581,0.9633489707723155
6,6.0,-0.17139528383314787,-0.8358808329727005,1.2509480233112278,0.9589483492918415,0.8935422272918254,0.9639058657218229
7,7.0,-0.17139528383314787,-0.8358808329727005,1.2509811564077913,0.9589483492918415,0.8971731759646858,0.9644401027998131
8,8.0,-0.17139528383314787,-0.8358808329727005,1.2510143482912914,0.9589483492918415,0.900803078757756,0.964951319946501
9,9.0,-0.17139528383314787,-0.8358808329727005,1.2510475902916667,0.9589483492918415,0.9044319962579954,0.9654391823029885
10,10.0,-0.17139528383314787,-0.8358808329727005,1.251080873698958,0.9589483492918415,0.9080599879846303,0.9659033829905038
11,11.0,-0.17139528383314787,-0.8358808329727005,1.251114189771347,0.9589483492918415,0.9116871123850342,0.9663436438582559
12,12.0,-0.17139528383314787,-0.8358808329727005,1.2563504953675952,0.9589483492918415,0.915313426832571,0.9667597161974567
13,13.0,-0.17139528383314787,-0.8358808329727005,1.256391013770139,0.9589483492918415,0.9189389876264157,0.9671513814206238
14,14.0,-0.17139528383314787,-0.8358808329727005,1.2564315139688917,0.9589483492918415,0.9225638499933685,0.9675184517041663
15,15.0,-0.17139528383314787,-0.8358808329727005,1.2564719851390207,0.9589483492918415,0.9261880680916579,0.9678607705930155
16,16.0,-0.17139528383314787,-0.8358808329727005,1.2565124164929358,0.9589483492918415,0.9298116950167478,0.968178213565628
17,17.0,-0.17139528383314787,-0.8358808329727005,1.2565527972906325,0.9589483492918415,0.9334347828091437,0.9684706885582549
18,18.0,-0.17139528383314787,-0.8358808329727005,1.2788897504269945,0.9589483492918415,0.9370573824642026,0.9687381364468296
19,19.0,-0.17139528383314787,-0.8358808329727005,1.2788873864383234,0.9589483492918415,0.9406795439439369,0.9689805314853328
20,20.0,-0.17139528383314787,-0.8358808329727005,1.2788849998620775,0.9589483492918415,0.944301316190814,0.9691978816994642
21,21.0,-0.17139528383314787,-0.8358808329727005,1.2788825879623342,0.9589483492918415,0.9479227471435373,0.9693902292342768
22,22.0,-0.17139528383314787,-0.8358808329727005,1.2788801481016978,0.9589483492918415,0.951543883754796,0.9695576506547984
23,23.0,-0.17139528383314787,-0.8358808329727005,1.2788776777472153,0.9589483492918415,0.9551647720109775,0.9697002571987713
24,24.0,-0.17139528383314787,-0.8358808329727005,1.278875174476155,0.9589483492918415,0.9587854569538137,0.9698181949800421
25,25.0,-0.17139528383314787,-0.8358808329727005,1.278872635981636,0.9589483492918415,0.962405982703956,0.9699116451423383
26,26.0,-0.17139528383314787,-0.8358808329727005,1.2788700600780893,1.2557916581531092,0.9660263924864424,0.9699808239622115
27,27.0,-0.17139528383314787,-0.8358808329727005,1.278867444706551,1.2557916581531092,0.9696467286580399,0.9700259829006775
28,28.0,-0.17139528383314787,-0.8358808329727005,1.2788647879397617,1.2557916581531092,0.9732670327364356,0.9700474086025146
29,29.0,-0.17139528383314787,-0.8358808329727005,1.2788620879870767,1.2557916581531092,0.9768873454312376,0.9700454228432993
30,30.0,-0.17139528383314787,-0.8358808329727005,1.2788593431991604,1.2557916581531092,0.980507706676765,0.9700203824230488
31,31.0,-0.17139528383314787,-0.8358808329727005,1.2788565520724686,1.2557916581531092,0.9841281556665781,0.9699726790065601
32,32.0,-0.17139528383314787,-0.8358808329727005,1.2788537132534987,1.2557916581531092,0.9877487308897213,0.9699027389099041
33,33.0,-0.17139528383314787,-0.8358808329727005,1.2788508255428055,1.2557916581531092,0.9913694701686313,0.9698110228327955
34,34.0,-0.17139528383314787,-0.8358808329727005,1.278847887898768,1.2557916581531092,0.9949904106986697,0.9696980255372225
35,35.0,-0.17139528383314787,-0.8358808329727005,1.2788448994411041,1.2557916581531092,0.9986115890892302,0.9695642754715803
36,36.0,-0.17139528383314787,-0.8358808329727005,1.2788418594541215,1.2557916581531092,1.0022330414063847,0.9694103343409338
37,37.0,-0.17139528383314787,-0.8358808329727005,1.2788387673896968,1.2557916581531092,1.0058548032169934,0.9692367966235501
38,38.0,-0.17139528383314787,-0.8358808329727005,1.2788356228699793,1.2557916581531092,1.0094769096342544,0.9690442890334571
39,39.0,-0.17139528383314787,-0.8358808329727005,1.278832425689811,1.2557916581531092,1.013099395364612,0.96883346993014
40,40.0,-0.17139528383314787,-0.8358808329727005,1.278829175818853,1.2557916581531092,1.0167222947559835,0.9686050286751146
41,41.0,-0.17139528383314787,-0.8358808329727005,1.2788258734034215,1.2557916581531092,1.0203456418472348,0.9683596849366037
42,42.0,-0.17139528383314787,-0.8358808329727005,1.278822518768018,1.2557916581531092,1.0239694704188453,0.968098187942296
43,43.0,-0.17139528383314787,-0.8358808329727005,1.2788191124165558,1.2256538793811864,1.0275938140447005,0.9678213156814123
