,NtotDose,PtotDose,KtotDose,P,pspe_knn,pspe_rf,pspe_nn,pspe_gp
0,0.2845145460791251,0.0,0.7885680540930908,0.0,1.077559846631579,1.0773250965052632,1.0787556390029918,1.081724689822584
1,0.2845145460791251,1.0,0.7885680540930908,0.436,1.077559846631579,1.0773250965052632,1.0788145547132273,1.081749932928768
2,0.2845145460791251,2.0,0.7885680540930908,0.872,1.077559846631579,1.0773250965052632,1.0788734341454127,1.0817752039299708
3,0.2845145460791251,3.0,0.7885680540930908,1.308,1.077559846631579,1.0773250965052632,1.0789322760603601,1.0818005012166194
4,0.2845145460791251,4.0,0.7885680540930908,1.744,1.077559846631579,1.0773250965052632,1.0789910792134556,1.0818258231635354
5,0.2845145460791251,5.0,0.7885680540930908,2.18,1.077559846631579,1.0773250965052632,1.0790498423544137,1.0818511681300917
6,0.2845145460791251,6.0,0.7885680540930908,2.616,1.077559846631579,1.0773250965052632,1.0791085642270397,1.0818765344603718
7,0.2845145460791251,7.0,0.7885680540930908,3.052,1.077559846631579,1.0773250965052632,1.079167243569002,1.081901920483338
8,0.2845145460791251,8.0,0.7885680540930908,3.488,1.077559846631579,1.0773250965052632,1.0792258791116107,1.0819273245130032
9,0.2845145460791251,9.0,0.7885680540930908,3.924,1.077559846631579,1.0773250965052632,1.0792844695796073,1.0819527448486097
10,0.2845145460791251,10.0,0.7885680540930908,4.36,1.077559846631579,1.0773250965052632,1.079343013690962,1.0819781797748134
11,0.2845145460791251,11.0,0.7885680540930908,4.796,1.077559846631579,1.0773250965052632,1.0794015101566816,1.0820036275618743
12,0.2845145460791251,12.0,0.7885680540930908,5.232,1.077559846631579,1.0773250965052632,1.079459957680625,1.0820290864658526
13,0.2845145460791251,13.0,0.7885680540930908,5.668,1.077559846631579,1.0773250965052632,1.0795183549593301,1.0820545547288103
14,0.2845145460791251,14.0,0.7885680540930908,6.104,1.077559846631579,1.0773250965052632,1.0795767006818495,1.0820800305790201
15,0.2845145460791251,15.0,0.7885680540930908,6.54,1.0780643806315788,1.0773250965052632,1.0796349935295966,1.0821055122311778
16,0.2845145460791251,16.0,0.7885680540930908,6.976,1.078380170105263,1.0775162652421053,1.0796932321762012,1.0821309978866231
17,0.2845145460791251,17.0,0.7885680540930908,7.412,1.078380170105263,1.0774476123473684,1.079751415287376,1.0821564857335648
18,0.2845145460791251,18.0,0.7885680540930908,7.848,1.078380170105263,1.0774476123473684,1.0798095415207924,1.082181973947312
19,0.2845145460791251,19.0,0.7885680540930908,8.284,1.0791916823684211,1.0774476123473684,1.0798676095259683,1.0822074606905114
20,0.2845145460791251,20.0,0.7885680540930908,8.72,1.0804022086842104,1.0774476123473684,1.0799256179441645,1.0822329441133907
21,0.2845145460791251,21.0,0.7885680540930908,9.156,1.0804022086842104,1.0774476123473684,1.0799835654082932,1.0822584223540073
22,0.2845145460791251,22.0,0.7885680540930908,9.592,1.0809811560526315,1.0774476123473684,1.0800414505428362,1.082283893538503
23,0.2845145460791251,23.0,0.7885680540930908,10.028,1.0809811560526315,1.0774476123473684,1.0800992719637745,1.0823093557813641
24,0.2845145460791251,24.0,0.7885680540930908,10.464,1.0809811560526315,1.0774476123473684,1.0801570282785284,1.0823348071856882
25,0.2845145460791251,25.0,0.7885680540930908,10.9,1.0809811560526315,1.0774476123473684,1.0802147180859083,1.0823602458434558
26,0.2845145460791251,26.0,0.7885680540930908,11.336,1.0809811560526315,1.0781191978561404,1.080272339976076,1.0823856698358072
27,0.2845145460791251,27.0,0.7885680540930908,11.772,1.0809811560526315,1.0781191978561404,1.0803298925305183,1.082411077233327
28,0.2845145460791251,28.0,0.7885680540930908,12.208,1.0809811560526315,1.0781191978561404,1.0803873743220294,1.0824364660963315
29,0.2845145460791251,29.0,0.7885680540930908,12.644,1.0809811560526315,1.0781191978561404,1.080444783914706,1.0824618344751635
30,0.2845145460791251,30.0,0.7885680540930908,13.08,1.081349577105263,1.0781191978561404,1.0805021198639517,1.0824871804104925
31,0.2845145460791251,31.0,0.7885680540930908,13.516,1.081033787631579,1.0781191978561404,1.0805593807164942,1.082512501933619
32,0.2845145460791251,32.0,0.7885680540930908,13.952,1.081033787631579,1.0781191978561404,1.0806165650104103,1.0825377970667855
33,0.2845145460791251,33.0,0.7885680540930908,14.388,1.081033787631579,1.0781191978561404,1.0806736712751652,1.0825630638234927
34,0.2845145460791251,34.0,0.7885680540930908,14.824,1.081033787631579,1.0781191978561404,1.0807306980316598,1.0825883002088197
35,0.2845145460791251,35.0,0.7885680540930908,15.26,1.081349577105263,1.0781191978561404,1.080787643792289,1.0826135042197513
36,0.2845145460791251,36.0,0.7885680540930908,15.696,1.081033787631579,1.0781191978561404,1.0808445070610124,1.082638673845509
37,0.2845145460791251,37.0,0.7885680540930908,16.132,1.081033787631579,1.0781191978561404,1.080901286333433,1.082663807067887
38,0.2845145460791251,38.0,0.7885680540930908,16.568,1.081349577105263,1.0781191978561404,1.0809579800968876,1.0826889018615944
39,0.2845145460791251,39.0,0.7885680540930908,17.004,1.081349577105263,1.0781191978561404,1.081014586830547,1.082713956194601
40,0.2845145460791251,40.0,0.7885680540930908,17.44,1.081349577105263,1.0781191978561404,1.0810711050055273,1.0827389680284893
41,0.2845145460791251,41.0,0.7885680540930908,17.876,1.081349577105263,1.0781191978561404,1.0811275330850092,1.0827639353188088
42,0.2845145460791251,42.0,0.7885680540930908,18.312,1.081349577105263,1.0780665662771929,1.0811838695243694,1.0827888560154375
