,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type
981,8704-5-5,8704,5,8704-5,5,N
982,8704-6-5,8704,6,8704-6,5,N
983,8801-1-1,8801,1,8801-1,1,N
984,8801-1-2,8801,1,8801-1,2,N
985,8801-2-2,8801,2,8801-2,2,N
986,8801-3-2,8801,3,8801-3,2,N
987,8801-4-2,8801,4,8801-4,2,N
988,8801-5-2,8801,5,8801-5,2,N
989,8801-1-3,8801,1,8801-1,3,N
990,8801-2-3,8801,2,8801-2,3,N
991,8801-3-3,8801,3,8801-3,3,N
992,8801-4-3,8801,4,8801-4,3,N
993,8801-5-3,8801,5,8801-5,3,N
994,8801-1-4,8801,1,8801-1,4,N
995,8801-2-4,8801,2,8801-2,4,N
996,8801-3-4,8801,3,8801-3,4,N
997,8801-4-4,8801,4,8801-4,4,N
998,8801-6-4,8801,6,8801-6,4,N
999,8801-1-5,8801,1,8801-1,5,N
1000,8801-2-5,8801,2,8801-2,5,N
1001,8801-3-5,8801,3,8801-3,5,N
1002,8801-4-5,8801,4,8801-4,5,N
1003,8801-5-5,8801,5,8801-5,5,N
1004,8801-6-5,8801,6,8801-6,5,N
1005,8802-1-1,8802,1,8802-1,1,N
1006,8802-1-2,8802,1,8802-1,2,N
1007,8802-2-2,8802,2,8802-2,2,N
1008,8802-3-2,8802,3,8802-3,2,N
1009,8802-4-2,8802,4,8802-4,2,N
1010,8802-5-2,8802,5,8802-5,2,N
1011,8802-1-3,8802,1,8802-1,3,N
1012,8802-2-3,8802,2,8802-2,3,N
1013,8802-3-3,8802,3,8802-3,3,N
1014,8802-4-3,8802,4,8802-4,3,N
1015,8802-5-3,8802,5,8802-5,3,N
1016,8802-1-4,8802,1,8802-1,4,N
1017,8802-2-4,8802,2,8802-2,4,N
1018,8802-3-4,8802,3,8802-3,4,N
1019,8802-4-4,8802,4,8802-4,4,N
1020,8802-5-4,8802,5,8802-5,4,N
1021,8802-6-4,8802,6,8802-6,4,N
1022,8802-1-5,8802,1,8802-1,5,N
1023,8802-2-5,8802,2,8802-2,5,N
1024,8802-3-5,8802,3,8802-3,5,N
1025,8802-4-5,8802,4,8802-4,5,N
1026,8802-5-5,8802,5,8802-5,5,N
1027,8802-6-5,8802,6,8802-6,5,N
1028,8803-1-2,8803,1,8803-1,2,N
1029,8803-2-2,8803,2,8803-2,2,N
1030,8803-3-2,8803,3,8803-3,2,N
1031,8803-4-2,8803,4,8803-4,2,N
1032,8803-5-2,8803,5,8803-5,2,N
1033,8803-1-3,8803,1,8803-1,3,N
1034,8803-3-3,8803,3,8803-3,3,N
1035,8803-4-3,8803,4,8803-4,3,N
1036,8803-5-3,8803,5,8803-5,3,N
1037,8803-1-4,8803,1,8803-1,4,N
1038,8803-2-4,8803,2,8803-2,4,N
1039,8803-3-4,8803,3,8803-3,4,N
1040,8803-4-4,8803,4,8803-4,4,N
1041,8803-5-4,8803,5,8803-5,4,N
1042,8803-6-4,8803,6,8803-6,4,N
1043,8803-1-5,8803,1,8803-1,5,N
1044,8803-2-5,8803,2,8803-2,5,N
1045,8803-3-5,8803,3,8803-3,5,N
1046,8803-4-5,8803,4,8803-4,5,N
1047,8803-5-5,8803,5,8803-5,5,N
1048,8803-6-5,8803,6,8803-6,5,N
1049,8804-1-1,8804,1,8804-1,1,N
1050,8804-1-2,8804,1,8804-1,2,N
1051,8804-2-2,8804,2,8804-2,2,N
1052,8804-3-2,8804,3,8804-3,2,N
1053,8804-4-2,8804,4,8804-4,2,N
1054,8804-5-2,8804,5,8804-5,2,N
1055,8804-1-3,8804,1,8804-1,3,N
1056,8804-2-3,8804,2,8804-2,3,N
1057,8804-3-3,8804,3,8804-3,3,N
1058,8804-4-3,8804,4,8804-4,3,N
1059,8804-5-3,8804,5,8804-5,3,N
1060,8804-1-4,8804,1,8804-1,4,N
1061,8804-2-4,8804,2,8804-2,4,N
1062,8804-3-4,8804,3,8804-3,4,N
1063,8804-4-4,8804,4,8804-4,4,N
1064,8804-5-4,8804,5,8804-5,4,N
1065,8804-6-4,8804,6,8804-6,4,N
1066,8804-1-5,8804,1,8804-1,5,N
1067,8804-2-5,8804,2,8804-2,5,N
1068,8804-3-5,8804,3,8804-3,5,N
1069,8804-4-5,8804,4,8804-4,5,N
1070,8804-5-5,8804,5,8804-5,5,N
1071,8901-1-1,8901,1,8901-1,1,N
1072,8901-1-2,8901,1,8901-1,2,N
1073,8901-2-2,8901,2,8901-2,2,N
1074,8901-3-2,8901,3,8901-3,2,N
1075,8901-4-2,8901,4,8901-4,2,N
1076,8901-5-2,8901,5,8901-5,2,N
1077,8901-1-3,8901,1,8901-1,3,N
1078,8901-2-3,8901,2,8901-2,3,N
1079,8901-3-3,8901,3,8901-3,3,N
1080,8901-4-3,8901,4,8901-4,3,N
1081,8901-5-3,8901,5,8901-5,3,N
1082,8901-1-4,8901,1,8901-1,4,N
1083,8901-2-4,8901,2,8901-2,4,N
1084,8901-3-4,8901,3,8901-3,4,N
1085,8901-4-4,8901,4,8901-4,4,N
1086,8901-5-4,8901,5,8901-5,4,N
1087,8901-6-4,8901,6,8901-6,4,N
1088,8901-1-5,8901,1,8901-1,5,N
1089,8901-2-5,8901,2,8901-2,5,N
1090,8901-3-5,8901,3,8901-3,5,N
1091,8901-4-5,8901,4,8901-4,5,N
1092,8901-5-5,8901,5,8901-5,5,N
1093,8901-6-5,8901,6,8901-6,5,N
1094,8902-1-1,8902,1,8902-1,1,N
1095,8902-1-2,8902,1,8902-1,2,N
1096,8902-2-2,8902,2,8902-2,2,N
1097,8902-3-2,8902,3,8902-3,2,N
1098,8902-4-2,8902,4,8902-4,2,N
1099,8902-5-2,8902,5,8902-5,2,N
1100,8902-1-3,8902,1,8902-1,3,N
1101,8902-2-3,8902,2,8902-2,3,N
1102,8902-3-3,8902,3,8902-3,3,N
1103,8902-4-3,8902,4,8902-4,3,N
1104,8902-5-3,8902,5,8902-5,3,N
1105,8902-1-4,8902,1,8902-1,4,N
1106,8902-2-4,8902,2,8902-2,4,N
1107,8902-3-4,8902,3,8902-3,4,N
1108,8902-4-4,8902,4,8902-4,4,N
1109,8902-5-4,8902,5,8902-5,4,N
1110,8902-6-4,8902,6,8902-6,4,N
1111,8902-1-5,8902,1,8902-1,5,N
1112,8902-2-5,8902,2,8902-2,5,N
1113,8902-3-5,8902,3,8902-3,5,N
1114,8902-4-5,8902,4,8902-4,5,N
1115,8902-5-5,8902,5,8902-5,5,N
1116,8902-6-5,8902,6,8902-6,5,N
1117,8903-1-1,8903,1,8903-1,1,N
1118,8903-1-2,8903,1,8903-1,2,N
1119,8903-2-2,8903,2,8903-2,2,N
1120,8903-3-2,8903,3,8903-3,2,N
1121,8903-4-2,8903,4,8903-4,2,N
1122,8903-5-2,8903,5,8903-5,2,N
1123,8903-1-3,8903,1,8903-1,3,N
1124,8903-2-3,8903,2,8903-2,3,N
1125,8903-3-3,8903,3,8903-3,3,N
1126,8903-4-3,8903,4,8903-4,3,N
1127,8903-5-3,8903,5,8903-5,3,N
1128,8903-1-4,8903,1,8903-1,4,N
1129,8903-2-4,8903,2,8903-2,4,N
1130,8903-3-4,8903,3,8903-3,4,N
1131,8903-4-4,8903,4,8903-4,4,N
1132,8903-5-4,8903,5,8903-5,4,N
1133,8903-6-4,8903,6,8903-6,4,N
1134,8903-1-5,8903,1,8903-1,5,N
1135,8903-2-5,8903,2,8903-2,5,N
1136,8903-3-5,8903,3,8903-3,5,N
1137,8903-4-5,8903,4,8903-4,5,N
1138,8903-5-5,8903,5,8903-5,5,N
1139,8903-6-5,8903,6,8903-6,5,N
1140,8904-1-1,8904,1,8904-1,1,N
1141,8904-1-2,8904,1,8904-1,2,N
1142,8904-2-2,8904,2,8904-2,2,N
1143,8904-3-2,8904,3,8904-3,2,N
1144,8904-4-2,8904,4,8904-4,2,N
1145,8904-5-2,8904,5,8904-5,2,N
1146,8904-1-3,8904,1,8904-1,3,N
1147,8904-2-3,8904,2,8904-2,3,N
1148,8904-3-3,8904,3,8904-3,3,N
1149,8904-4-3,8904,4,8904-4,3,N
1150,8904-5-3,8904,5,8904-5,3,N
1151,8904-2-4,8904,2,8904-2,4,N
1152,8904-3-4,8904,3,8904-3,4,N
1153,8904-4-4,8904,4,8904-4,4,N
1154,8904-5-4,8904,5,8904-5,4,N
1155,8904-6-4,8904,6,8904-6,4,N
1156,8904-1-5,8904,1,8904-1,5,N
1157,8904-2-5,8904,2,8904-2,5,N
1158,8904-3-5,8904,3,8904-3,5,N
1159,8904-4-5,8904,4,8904-4,5,N
1160,8904-5-5,8904,5,8904-5,5,N
1161,8904-6-5,8904,6,8904-6,5,N
1162,9001-1-1,9001,1,9001-1,1,N
1163,9001-2-2,9001,2,9001-2,2,N
1164,9001-3-2,9001,3,9001-3,2,N
1165,9001-4-2,9001,4,9001-4,2,N
1166,9001-5-2,9001,5,9001-5,2,N
1167,9001-1-3,9001,1,9001-1,3,N
1168,9001-2-3,9001,2,9001-2,3,N
1169,9001-3-3,9001,3,9001-3,3,N
1170,9001-5-3,9001,5,9001-5,3,N
1171,9001-1-4,9001,1,9001-1,4,N
1172,9001-2-4,9001,2,9001-2,4,N
1173,9001-3-4,9001,3,9001-3,4,N
1174,9001-4-4,9001,4,9001-4,4,N
1175,9001-5-4,9001,5,9001-5,4,N
1176,9001-6-4,9001,6,9001-6,4,N
1177,9001-3-5,9001,3,9001-3,5,N
1178,9001-4-5,9001,4,9001-4,5,N
1179,9001-5-5,9001,5,9001-5,5,N
1180,9001-6-5,9001,6,9001-6,5,N
1181,9002-1-1,9002,1,9002-1,1,N
1182,9002-1-2,9002,1,9002-1,2,N
1183,9002-2-2,9002,2,9002-2,2,N
1184,9002-3-2,9002,3,9002-3,2,N
1185,9002-4-2,9002,4,9002-4,2,N
1186,9002-5-2,9002,5,9002-5,2,N
1187,9002-1-3,9002,1,9002-1,3,N
1188,9002-2-3,9002,2,9002-2,3,N
1189,9002-3-3,9002,3,9002-3,3,N
1190,9002-4-3,9002,4,9002-4,3,N
1191,9002-5-3,9002,5,9002-5,3,N
1192,9002-1-4,9002,1,9002-1,4,N
1193,9002-2-4,9002,2,9002-2,4,N
1194,9002-3-4,9002,3,9002-3,4,N
1195,9002-4-4,9002,4,9002-4,4,N
1196,9002-5-4,9002,5,9002-5,4,N
1197,9002-6-4,9002,6,9002-6,4,N
1198,9002-1-5,9002,1,9002-1,5,N
1199,9002-2-5,9002,2,9002-2,5,N
1200,9002-3-5,9002,3,9002-3,5,N
1201,9002-4-5,9002,4,9002-4,5,N
1202,9002-5-5,9002,5,9002-5,5,N
1203,9002-6-5,9002,6,9002-6,5,N
1204,9003-1-1,9003,1,9003-1,1,N
1205,9003-1-2,9003,1,9003-1,2,N
1206,9003-2-2,9003,2,9003-2,2,N
1207,9003-3-2,9003,3,9003-3,2,N
1208,9003-4-2,9003,4,9003-4,2,N
1209,9003-5-2,9003,5,9003-5,2,N
1210,9003-1-3,9003,1,9003-1,3,N
1211,9003-2-3,9003,2,9003-2,3,N
1212,9003-3-3,9003,3,9003-3,3,N
1213,9003-4-3,9003,4,9003-4,3,N
1214,9003-5-3,9003,5,9003-5,3,N
1215,9003-1-4,9003,1,9003-1,4,N
1216,9003-2-4,9003,2,9003-2,4,N
1217,9003-3-4,9003,3,9003-3,4,N
1218,9003-4-4,9003,4,9003-4,4,N
1219,9003-5-4,9003,5,9003-5,4,N
1220,9003-6-4,9003,6,9003-6,4,N
1221,9003-1-5,9003,1,9003-1,5,N
1222,9003-2-5,9003,2,9003-2,5,N
1223,9003-3-5,9003,3,9003-3,5,N
1224,9003-4-5,9003,4,9003-4,5,N
1225,9003-5-5,9003,5,9003-5,5,N
1226,9003-6-5,9003,6,9003-6,5,N
1227,9004-1-1,9004,1,9004-1,1,N
1228,9004-1-2,9004,1,9004-1,2,N
1229,9004-2-2,9004,2,9004-2,2,N
1230,9004-3-2,9004,3,9004-3,2,N
1231,9004-4-2,9004,4,9004-4,2,N
1232,9004-5-2,9004,5,9004-5,2,N
1233,9004-1-3,9004,1,9004-1,3,N
1234,9004-2-3,9004,2,9004-2,3,N
1235,9004-3-3,9004,3,9004-3,3,N
1236,9004-4-3,9004,4,9004-4,3,N
1237,9004-5-3,9004,5,9004-5,3,N
1238,9004-1-4,9004,1,9004-1,4,N
1239,9004-2-4,9004,2,9004-2,4,N
1240,9004-3-4,9004,3,9004-3,4,N
1241,9004-4-4,9004,4,9004-4,4,N
1242,9004-5-4,9004,5,9004-5,4,N
1243,9004-6-4,9004,6,9004-6,4,N
1244,9004-1-5,9004,1,9004-1,5,N
1245,9004-2-5,9004,2,9004-2,5,N
1246,9004-3-5,9004,3,9004-3,5,N
1247,9004-4-5,9004,4,9004-4,5,N
1248,9004-5-5,9004,5,9004-5,5,N
1249,9004-6-5,9004,6,9004-6,5,N
1250,9101-1-1,9101,1,9101-1,1,N
1251,9101-1-2,9101,1,9101-1,2,N
1252,9101-2-2,9101,2,9101-2,2,N
1253,9101-3-2,9101,3,9101-3,2,N
1254,9101-4-2,9101,4,9101-4,2,N
1255,9101-5-2,9101,5,9101-5,2,N
1256,9101-1-3,9101,1,9101-1,3,N
1257,9101-2-3,9101,2,9101-2,3,N
1258,9101-3-3,9101,3,9101-3,3,N
1259,9101-4-3,9101,4,9101-4,3,N
1260,9101-5-3,9101,5,9101-5,3,N
1261,9101-1-4,9101,1,9101-1,4,N
1262,9101-2-4,9101,2,9101-2,4,N
1263,9101-3-4,9101,3,9101-3,4,N
1264,9101-4-4,9101,4,9101-4,4,N
1265,9101-5-4,9101,5,9101-5,4,N
1266,9101-6-4,9101,6,9101-6,4,N
1267,9101-1-5,9101,1,9101-1,5,N
1268,9101-2-5,9101,2,9101-2,5,N
1269,9101-3-5,9101,3,9101-3,5,N
1270,9101-4-5,9101,4,9101-4,5,N
1271,9101-5-5,9101,5,9101-5,5,N
1272,9101-6-5,9101,6,9101-6,5,N
1273,9102-1-1,9102,1,9102-1,1,N
1274,9102-1-2,9102,1,9102-1,2,N
1275,9102-2-2,9102,2,9102-2,2,N
1276,9102-3-2,9102,3,9102-3,2,N
1277,9102-4-2,9102,4,9102-4,2,N
1278,9102-5-2,9102,5,9102-5,2,N
1279,9102-1-3,9102,1,9102-1,3,N
1280,9102-2-3,9102,2,9102-2,3,N
1281,9102-3-3,9102,3,9102-3,3,N
1282,9102-4-3,9102,4,9102-4,3,N
1283,9102-5-3,9102,5,9102-5,3,N
1284,9102-1-4,9102,1,9102-1,4,N
1285,9102-2-4,9102,2,9102-2,4,N
1286,9102-3-4,9102,3,9102-3,4,N
1287,9102-4-4,9102,4,9102-4,4,N
1288,9102-5-4,9102,5,9102-5,4,N
1289,9102-6-4,9102,6,9102-6,4,N
1290,9102-1-5,9102,1,9102-1,5,N
1291,9102-2-5,9102,2,9102-2,5,N
1292,9102-3-5,9102,3,9102-3,5,N
1293,9102-4-5,9102,4,9102-4,5,N
1294,9102-5-5,9102,5,9102-5,5,N
1295,9102-6-5,9102,6,9102-6,5,N
1296,9103-1-1,9103,1,9103-1,1,N
1297,9103-1-2,9103,1,9103-1,2,N
1298,9103-2-2,9103,2,9103-2,2,N
1299,9103-3-2,9103,3,9103-3,2,N
1300,9103-4-2,9103,4,9103-4,2,N
1301,9103-5-2,9103,5,9103-5,2,N
1302,9103-1-3,9103,1,9103-1,3,N
1303,9103-2-3,9103,2,9103-2,3,N
1304,9103-3-3,9103,3,9103-3,3,N
1305,9103-4-3,9103,4,9103-4,3,N
1306,9103-5-3,9103,5,9103-5,3,N
1307,9103-1-4,9103,1,9103-1,4,N
1308,9103-2-4,9103,2,9103-2,4,N
1309,9103-3-4,9103,3,9103-3,4,N
1310,9103-4-4,9103,4,9103-4,4,N
1311,9103-5-4,9103,5,9103-5,4,N
1312,9103-6-4,9103,6,9103-6,4,N
1313,9103-1-5,9103,1,9103-1,5,N
1314,9103-2-5,9103,2,9103-2,5,N
1315,9103-3-5,9103,3,9103-3,5,N
1316,9103-4-5,9103,4,9103-4,5,N
1317,9103-5-5,9103,5,9103-5,5,N
1318,9103-6-5,9103,6,9103-6,5,N
1319,9104-1-1,9104,1,9104-1,1,N
1320,9104-1-2,9104,1,9104-1,2,N
1321,9104-2-2,9104,2,9104-2,2,N
1322,9104-3-2,9104,3,9104-3,2,N
1323,9104-4-2,9104,4,9104-4,2,N
1324,9104-5-2,9104,5,9104-5,2,N
1325,9104-1-3,9104,1,9104-1,3,N
1326,9104-2-3,9104,2,9104-2,3,N
1327,9104-3-3,9104,3,9104-3,3,N
1328,9104-4-3,9104,4,9104-4,3,N
1329,9104-5-3,9104,5,9104-5,3,N
1330,9104-1-4,9104,1,9104-1,4,N
1331,9104-2-4,9104,2,9104-2,4,N
1332,9104-3-4,9104,3,9104-3,4,N
1333,9104-4-4,9104,4,9104-4,4,N
1334,9104-5-4,9104,5,9104-5,4,N
1335,9104-6-4,9104,6,9104-6,4,N
1336,9104-1-5,9104,1,9104-1,5,N
1337,9104-2-5,9104,2,9104-2,5,N
1338,9104-3-5,9104,3,9104-3,5,N
1339,9104-4-5,9104,4,9104-4,5,N
1340,9104-5-5,9104,5,9104-5,5,N
1341,9104-6-5,9104,6,9104-6,5,N
1342,9201-1-1,9201,1,9201-1,1,N
1343,9201-1-2,9201,1,9201-1,2,N
1344,9201-2-2,9201,2,9201-2,2,N
1345,9201-3-2,9201,3,9201-3,2,N
1346,9201-4-2,9201,4,9201-4,2,N
1347,9201-5-2,9201,5,9201-5,2,N
1348,9201-1-3,9201,1,9201-1,3,N
1349,9201-2-3,9201,2,9201-2,3,N
1350,9201-3-3,9201,3,9201-3,3,N
1351,9201-4-3,9201,4,9201-4,3,N
1352,9201-5-3,9201,5,9201-5,3,N
1353,9201-1-4,9201,1,9201-1,4,N
1354,9201-2-4,9201,2,9201-2,4,N
1355,9201-3-4,9201,3,9201-3,4,N
1356,9201-4-4,9201,4,9201-4,4,N
1357,9201-5-4,9201,5,9201-5,4,N
1358,9201-6-4,9201,6,9201-6,4,N
1359,9201-1-5,9201,1,9201-1,5,N
1360,9201-2-5,9201,2,9201-2,5,N
1361,9201-3-5,9201,3,9201-3,5,N
1362,9201-4-5,9201,4,9201-4,5,N
1363,9201-5-5,9201,5,9201-5,5,N
1364,9201-6-5,9201,6,9201-6,5,N
1365,9202-1-1,9202,1,9202-1,1,N
1366,9202-1-2,9202,1,9202-1,2,N
1367,9202-2-2,9202,2,9202-2,2,N
1368,9202-3-2,9202,3,9202-3,2,N
1369,9202-4-2,9202,4,9202-4,2,N
1370,9202-5-2,9202,5,9202-5,2,N
1371,9202-1-3,9202,1,9202-1,3,N
1372,9202-2-3,9202,2,9202-2,3,N
1373,9202-3-3,9202,3,9202-3,3,N
1374,9202-4-3,9202,4,9202-4,3,N
1375,9202-5-3,9202,5,9202-5,3,N
1376,9202-1-4,9202,1,9202-1,4,N
1377,9202-2-4,9202,2,9202-2,4,N
1378,9202-3-4,9202,3,9202-3,4,N
1379,9202-4-4,9202,4,9202-4,4,N
1380,9202-5-4,9202,5,9202-5,4,N
1381,9202-6-4,9202,6,9202-6,4,N
1382,9202-1-5,9202,1,9202-1,5,N
1383,9202-2-5,9202,2,9202-2,5,N
1384,9202-3-5,9202,3,9202-3,5,N
1385,9202-4-5,9202,4,9202-4,5,N
1386,9202-5-5,9202,5,9202-5,5,N
1387,9202-6-5,9202,6,9202-6,5,N
1388,9203-1-1,9203,1,9203-1,1,N
1389,9203-1-2,9203,1,9203-1,2,N
1390,9203-2-2,9203,2,9203-2,2,N
1391,9203-3-2,9203,3,9203-3,2,N
1392,9203-4-2,9203,4,9203-4,2,N
1393,9203-5-2,9203,5,9203-5,2,N
1394,9203-1-3,9203,1,9203-1,3,N
1395,9203-2-3,9203,2,9203-2,3,N
1396,9203-3-3,9203,3,9203-3,3,N
1397,9203-4-3,9203,4,9203-4,3,N
1398,9203-5-3,9203,5,9203-5,3,N
1399,9203-1-4,9203,1,9203-1,4,N
1400,9203-2-4,9203,2,9203-2,4,N
1401,9203-3-4,9203,3,9203-3,4,N
1402,9203-4-4,9203,4,9203-4,4,N
1403,9203-5-4,9203,5,9203-5,4,N
1404,9203-6-4,9203,6,9203-6,4,N
1405,9203-1-5,9203,1,9203-1,5,N
1406,9203-2-5,9203,2,9203-2,5,N
1407,9203-3-5,9203,3,9203-3,5,N
1408,9203-4-5,9203,4,9203-4,5,N
1409,9203-5-5,9203,5,9203-5,5,N
1410,9203-6-5,9203,6,9203-6,5,N
1411,9204-1-1,9204,1,9204-1,1,N
1412,9204-1-2,9204,1,9204-1,2,N
1413,9204-2-2,9204,2,9204-2,2,N
1414,9204-3-2,9204,3,9204-3,2,N
1415,9204-4-2,9204,4,9204-4,2,N
1416,9204-5-2,9204,5,9204-5,2,N
1417,9204-1-3,9204,1,9204-1,3,N
1418,9204-2-3,9204,2,9204-2,3,N
1419,9204-3-3,9204,3,9204-3,3,N
1420,9204-5-3,9204,5,9204-5,3,N
1421,9204-1-4,9204,1,9204-1,4,N
1422,9204-2-4,9204,2,9204-2,4,N
1423,9204-3-4,9204,3,9204-3,4,N
1424,9204-4-4,9204,4,9204-4,4,N
1425,9204-5-4,9204,5,9204-5,4,N
1426,9204-6-4,9204,6,9204-6,4,N
1427,9204-1-5,9204,1,9204-1,5,N
1428,9204-2-5,9204,2,9204-2,5,N
1429,9204-3-5,9204,3,9204-3,5,N
1430,9204-4-5,9204,4,9204-4,5,N
1431,9204-5-5,9204,5,9204-5,5,N
1432,9204-6-5,9204,6,9204-6,5,N
1433,126-1-1,126,1,126-1,1,NPK
1434,126-1-2,126,1,126-1,2,NPK
1435,126-1-3,126,1,126-1,3,NPK
1436,126-1-4,126,1,126-1,4,NPK
1437,126-1-5,126,1,126-1,5,NPK
1438,126-1-6,126,1,126-1,6,NPK
1439,126-1-7,126,1,126-1,7,NPK
1440,126-1-8,126,1,126-1,8,NPK
1441,126-1-9,126,1,126-1,9,NPK
1442,126-1-10,126,1,126-1,10,NPK
1443,126-1-11,126,1,126-1,11,NPK
1444,126-1-12,126,1,126-1,12,NPK
1445,126-1-13,126,1,126-1,13,NPK
1446,126-1-14,126,1,126-1,14,NPK
1447,126-1-15,126,1,126-1,15,NPK
1448,126-1-16,126,1,126-1,16,NPK
1449,126-1-17,126,1,126-1,17,NPK
1450,126-1-18,126,1,126-1,18,NPK
1451,126-1-19,126,1,126-1,19,NPK
1452,126-1-20,126,1,126-1,20,NPK
1453,126-1-21,126,1,126-1,21,NPK
1454,126-1-22,126,1,126-1,22,NPK
1455,126-1-23,126,1,126-1,23,NPK
1456,126-1-24,126,1,126-1,24,NPK
1457,126-1-25,126,1,126-1,25,NPK
1458,126-1-26,126,1,126-1,26,NPK
1459,126-1-27,126,1,126-1,27,NPK
1460,135-1-1,135,1,135-1,1,N
1461,135-1-2,135,1,135-1,2,N
1462,135-1-3,135,1,135-1,3,N
1463,135-1-4,135,1,135-1,4,N
1464,135-1-5,135,1,135-1,5,N
1465,135-2-1,135,2,135-2,1,N
1466,135-2-2,135,2,135-2,2,N
1467,135-2-3,135,2,135-2,3,N
1468,135-2-4,135,2,135-2,4,N
1469,135-3-1,135,3,135-3,1,N
1470,135-3-2,135,3,135-3,2,N
1471,135-3-3,135,3,135-3,3,N
1472,135-3-4,135,3,135-3,4,N
1473,135-3-5,135,3,135-3,5,N
1474,135-4-1,135,4,135-4,1,N
1475,135-4-2,135,4,135-4,2,N
1476,135-4-3,135,4,135-4,3,N
1477,135-4-4,135,4,135-4,4,N
1478,135-4-5,135,4,135-4,5,N
1479,135-5-1,135,5,135-5,1,N
1480,135-5-2,135,5,135-5,2,N
1481,135-5-3,135,5,135-5,3,N
1482,135-5-4,135,5,135-5,4,N
1483,135-5-5,135,5,135-5,5,N
1484,136-1-1,136,1,136-1,1,N
1485,136-1-2,136,1,136-1,2,N
1486,136-1-3,136,1,136-1,3,N
1487,136-1-4,136,1,136-1,4,N
1488,136-1-5,136,1,136-1,5,N
1489,136-1-6,136,1,136-1,6,N
1490,136-2-1,136,2,136-2,1,N
1491,136-2-2,136,2,136-2,2,N
1492,136-2-3,136,2,136-2,3,N
1493,136-2-4,136,2,136-2,4,N
1494,136-2-5,136,2,136-2,5,N
1495,136-2-6,136,2,136-2,6,N
1496,136-3-1,136,3,136-3,1,N
1497,136-3-2,136,3,136-3,2,N
1498,136-3-3,136,3,136-3,3,N
1499,136-3-4,136,3,136-3,4,N
1500,136-3-5,136,3,136-3,5,N
1501,136-3-6,136,3,136-3,6,N
1502,137-1-1,137,1,137-1,1,N
1503,137-1-2,137,1,137-1,2,N
1504,137-1-3,137,1,137-1,3,N
1505,137-1-4,137,1,137-1,4,N
1506,137-1-5,137,1,137-1,5,N
1507,137-1-6,137,1,137-1,6,N
1508,137-2-1,137,2,137-2,1,N
1509,137-2-2,137,2,137-2,2,N
1510,137-2-3,137,2,137-2,3,N
1511,137-2-4,137,2,137-2,4,N
1512,137-2-5,137,2,137-2,5,N
1513,137-3-1,137,3,137-3,1,N
1514,137-3-2,137,3,137-3,2,N
1515,137-3-3,137,3,137-3,3,N
1516,137-3-4,137,3,137-3,4,N
1517,137-3-5,137,3,137-3,5,N
1518,137-3-6,137,3,137-3,6,N
1519,138-1-1,138,1,138-1,1,N
1520,138-1-2,138,1,138-1,2,N
1521,138-1-3,138,1,138-1,3,N
1522,138-1-4,138,1,138-1,4,N
1523,138-1-5,138,1,138-1,5,N
1524,138-2-1,138,2,138-2,1,N
1525,138-2-2,138,2,138-2,2,N
1526,138-2-3,138,2,138-2,3,N
1527,138-2-4,138,2,138-2,4,N
1528,138-2-5,138,2,138-2,5,N
1529,138-3-1,138,3,138-3,1,N
1530,138-3-2,138,3,138-3,2,N
1531,138-3-3,138,3,138-3,3,N
1532,138-3-4,138,3,138-3,4,N
1533,138-3-5,138,3,138-3,5,N
1534,139-1-1,139,1,139-1,1,N
1535,139-1-2,139,1,139-1,2,N
1536,139-1-3,139,1,139-1,3,N
1537,139-1-4,139,1,139-1,4,N
1538,139-1-5,139,1,139-1,5,N
1539,139-1-6,139,1,139-1,6,N
1540,139-1-7,139,1,139-1,7,N
1541,139-2-1,139,2,139-2,1,N
1542,139-2-2,139,2,139-2,2,N
1543,139-2-3,139,2,139-2,3,N
1544,139-2-4,139,2,139-2,4,N
1545,139-2-5,139,2,139-2,5,N
1546,139-2-6,139,2,139-2,6,N
1547,139-2-7,139,2,139-2,7,N
1548,139-3-1,139,3,139-3,1,N
1549,139-3-2,139,3,139-3,2,N
1550,139-3-3,139,3,139-3,3,N
1551,139-3-4,139,3,139-3,4,N
1552,139-3-5,139,3,139-3,5,N
1553,139-3-6,139,3,139-3,6,N
1554,139-3-7,139,3,139-3,7,N
1574,142-1-1,142,1,142-1,1,N
1575,142-1-2,142,1,142-1,2,N
1576,142-1-3,142,1,142-1,3,N
1577,142-1-4,142,1,142-1,4,N
1578,142-1-5,142,1,142-1,5,N
1579,142-1-6,142,1,142-1,6,N
1580,142-2-1,142,2,142-2,1,N
1581,142-2-2,142,2,142-2,2,N
1582,142-2-3,142,2,142-2,3,N
1583,142-2-4,142,2,142-2,4,N
1584,142-2-5,142,2,142-2,5,N
1585,142-2-6,142,2,142-2,6,N
1586,142-3-1,142,3,142-3,1,N
1587,142-3-2,142,3,142-3,2,N
1588,142-3-3,142,3,142-3,3,N
1589,142-3-4,142,3,142-3,4,N
1590,142-3-5,142,3,142-3,5,N
1591,142-3-6,142,3,142-3,6,N
1592,143-1-1,143,1,143-1,1,N
1593,143-1-2,143,1,143-1,2,N
1594,143-1-3,143,1,143-1,3,N
1595,143-1-4,143,1,143-1,4,N
1596,143-1-5,143,1,143-1,5,N
1597,143-1-6,143,1,143-1,6,N
