,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type
210,25-1-2,25,1,25-1,2,N
211,25-1-3,25,1,25-1,3,N
212,25-1-4,25,1,25-1,4,N
213,25-1-5,25,1,25-1,5,N
214,25-1-6,25,1,25-1,6,N
215,25-1-7,25,1,25-1,7,N
216,25-1-8,25,1,25-1,8,N
217,25-2-1,25,2,25-2,1,N
218,25-2-2,25,2,25-2,2,N
219,25-2-3,25,2,25-2,3,N
220,25-2-4,25,2,25-2,4,N
221,25-2-5,25,2,25-2,5,N
222,25-2-6,25,2,25-2,6,N
223,25-2-7,25,2,25-2,7,N
224,25-2-8,25,2,25-2,8,N
225,25-3-1,25,3,25-3,1,N
226,25-3-2,25,3,25-3,2,N
227,25-3-3,25,3,25-3,3,N
228,25-3-4,25,3,25-3,4,N
229,25-3-5,25,3,25-3,5,N
230,25-3-6,25,3,25-3,6,N
231,25-3-7,25,3,25-3,7,N
232,25-3-8,25,3,25-3,8,N
233,26-1-1,26,1,26-1,1,N
234,26-1-2,26,1,26-1,2,N
235,26-1-3,26,1,26-1,3,N
236,26-1-4,26,1,26-1,4,N
237,26-2-1,26,2,26-2,1,N
238,26-2-2,26,2,26-2,2,N
239,26-2-3,26,2,26-2,3,N
240,26-2-4,26,2,26-2,4,N
241,26-3-1,26,3,26-3,1,N
242,26-3-2,26,3,26-3,2,N
243,26-3-3,26,3,26-3,3,N
244,26-3-4,26,3,26-3,4,N
245,27-1-1,27,1,27-1,1,N
246,27-1-2,27,1,27-1,2,N
247,27-1-3,27,1,27-1,3,N
248,27-1-4,27,1,27-1,4,N
249,27-2-1,27,2,27-2,1,N
250,27-2-2,27,2,27-2,2,N
251,27-2-3,27,2,27-2,3,N
252,27-2-4,27,2,27-2,4,N
253,27-3-1,27,3,27-3,1,N
254,27-3-2,27,3,27-3,2,N
255,27-3-3,27,3,27-3,3,N
256,27-3-4,27,3,27-3,4,N
287,32-1-1,32,1,32-1,1,NPK
288,32-1-2,32,1,32-1,2,NPK
289,32-1-3,32,1,32-1,3,NPK
290,32-1-4,32,1,32-1,4,NPK
291,32-1-5,32,1,32-1,5,NPK
292,32-1-6,32,1,32-1,6,NPK
293,32-1-7,32,1,32-1,7,NPK
294,32-1-8,32,1,32-1,8,NPK
295,32-1-9,32,1,32-1,9,NPK
296,32-1-10,32,1,32-1,10,NPK
297,32-2-1,32,2,32-2,1,NPK
298,32-2-2,32,2,32-2,2,NPK
