,NtotDose,PtotDose,KtotDose,K,yield_knn,yield_rf,yield_nn,yield_gp,cost,gp_revenue,gp_benefit
0,0.24120523519998266,-1.442681982076399,0.0,0.0,27.506347059715218,24.607810534052533,26.654384460799307,27.840932372900614,0.0,6960.233093225153,6960.233093225153
1,0.24120523519998266,-1.442681982076399,1.0,0.83,27.512032232924042,24.607810534052533,26.695659991193395,27.852647528215478,0.9,6963.16188205387,6962.26188205387
2,0.24120523519998266,-1.442681982076399,2.0,1.66,27.51774831089071,24.607810534052533,26.736780604229118,27.864631566453163,1.8,6966.15789161329,6964.35789161329
3,0.24120523519998266,-1.442681982076399,3.0,2.4899999999999998,27.523494912623406,24.607810534052533,26.777743663392556,27.876880325255907,2.7,6969.220081313977,6966.520081313977
4,0.24120523519998266,-1.442681982076399,4.0,3.32,27.529271648886464,24.607810534052533,26.818546467150398,27.88938957831273,3.6,6972.3473945781825,6968.747394578182
5,0.24120523519998266,-1.442681982076399,5.0,4.1499999999999995,27.535078122296184,24.607810534052533,26.8591862484939,27.902155036945054,4.5,6975.538759236263,6971.038759236263
6,0.24120523519998266,-1.442681982076399,6.0,4.9799999999999995,27.540913927421737,24.607810534052533,26.899660174496375,27.915172351721353,5.4,6978.7930879303385,6973.393087930339
7,0.24120523519998266,-1.442681982076399,7.0,5.81,27.546778650891177,24.607810534052533,26.93996534588485,27.92843711409955,6.3,6982.1092785248875,6975.809278524887
8,0.24120523519998266,-1.442681982076399,8.0,6.64,27.685083870434074,24.607810534052533,26.98009879662701,27.94194485809693,7.2,6985.486214524233,6978.286214524233
9,0.24120523519998266,-1.442681982076399,9.0,7.47,27.691387199862508,24.607810534052533,27.020057493533862,27.955691061986276,8.1,6988.922765496569,6980.8227654965685
10,0.24120523519998266,-1.442681982076399,10.0,8.299999999999999,27.697719479669637,24.607810534052533,27.05983833587924,27.96967115001797,9.0,6992.4177875044925,6983.4177875044925
11,0.24120523519998266,-1.442681982076399,11.0,9.129999999999999,27.704080242766032,24.607810534052533,27.099438155036875,27.98388049416701,9.9,6995.970123541752,6986.070123541753
12,0.24120523519998266,-1.442681982076399,12.0,9.959999999999999,27.710469014423886,24.607810534052533,27.13885371413603,27.998314415904318,10.8,6999.57860397608,6988.7786039760795
13,0.24120523519998266,-1.442681982076399,13.0,10.79,27.71688531241553,24.607810534052533,27.17808170773667,28.012968187991365,11.700000000000001,7003.2420469978415,6991.542046997842
14,0.24120523519998266,-1.442681982076399,14.0,11.62,28.57302409337455,24.607810534052533,27.217118761524887,28.02783703629735,12.6,7006.959259074337,6994.3592590743365
15,0.24120523519998266,-1.442681982076399,15.0,12.45,28.579928264693816,24.607810534052533,27.255961432030055,28.042916141638216,13.5,7010.729035409554,6997.229035409554
16,0.24120523519998266,-1.442681982076399,16.0,13.28,28.586862235226516,24.607810534052533,27.294606206364207,28.05820064163669,14.4,7014.550160409173,7000.150160409174
17,0.24120523519998266,-1.442681982076399,17.0,14.11,28.59382546286966,24.607810534052533,27.33304950198517,28.073685632602004,15.3,7018.421408150501,7003.1214081505
18,0.24120523519998266,-1.442681982076399,18.0,14.94,28.600817398076373,24.607810534052533,27.371287666484285,28.089366171429255,16.2,7022.3415428573135,7006.141542857314
19,0.24120523519998266,-1.442681982076399,19.0,15.77,28.60783748402848,24.607810534052533,27.40931697739996,28.105237277516768,17.1,7026.309319379192,7009.209319379192
20,0.24120523519998266,-1.442681982076399,20.0,16.599999999999998,28.614885156812946,24.607810534052533,27.447133642058212,28.121293934701,18.0,7030.32348367525,7012.32348367525
21,0.24120523519998266,-1.442681982076399,21.0,17.43,28.621959845602092,24.607810534052533,27.484733797441393,28.1375310932078,18.900000000000002,7034.382773301951,7015.482773301951
22,0.24120523519998266,-1.442681982076399,22.0,18.259999999999998,28.629060972837266,24.607810534052533,27.522113510086424,28.153943671619487,19.8,7038.485917904872,7018.6859179048715
23,0.24120523519998266,-1.442681982076399,23.0,19.09,28.636187954415988,24.607810534052533,27.55926877601364,28.170526558856512,20.7,7042.631639714128,7021.931639714128
24,0.24120523519998266,-1.442681982076399,24.0,19.919999999999998,28.643340199882175,24.607810534052533,27.596195520687903,28.18727461617257,21.6,7046.8186540431425,7025.218654043142
25,0.24120523519998266,-1.442681982076399,25.0,20.75,28.650517112619475,24.607810534052533,27.63288959901287,28.20418267916302,22.5,7051.045669790755,7028.545669790755
26,0.24120523519998266,-1.442681982076399,26.0,21.58,28.657718090047368,24.64748769915036,27.66934679536027,28.22124555978464,23.400000000000002,7055.3113899461605,7031.911389946161
27,0.24120523519998266,-1.442681982076399,27.0,22.41,28.66494252381992,24.64748769915036,27.705562823635322,28.238458048386597,24.3,7059.614512096649,7035.314512096649
28,0.24120523519998266,-1.442681982076399,28.0,23.24,28.672189800027056,24.64748769915036,27.741533327379926,28.255814915751024,25.2,7063.953728937756,7038.753728937756
29,0.24120523519998266,-1.442681982076399,29.0,24.07,28.67945929939801,24.64748769915036,27.777253879914987,28.273310915142794,26.1,7068.327728785698,7042.227728785698
30,0.24120523519998266,-1.442681982076399,30.0,24.9,28.686750397506973,24.64748769915036,27.812719984523586,28.290940784367088,27.0,7072.735196091772,7045.735196091772
31,0.24120523519998266,-1.442681982076399,31.0,25.73,28.69406246498058,24.64748769915036,27.84792707467649,28.30869924783388,27.900000000000002,7077.17481195847,7049.27481195847
32,0.24120523519998266,-1.442681982076399,32.0,26.56,28.701394867707137,24.64748769915036,27.882870514301587,28.326581018628453,28.8,7081.645254657114,7052.845254657113
