,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type,obsv,pred
103,8-3-3,8,3,8-3,3,N,-1.517095,-0.603253
104,8-3-4,8,3,8-3,4,N,-2.152072,-0.450741
105,8-3-5,8,3,8-3,5,N,-0.263555,-0.35767
106,8-3-6,8,3,8-3,6,N,-0.338009,-0.642432
107,9-1-1,9,1,9-1,1,N,0.910397,0.346482
108,9-1-2,9,1,9-1,2,N,0.942573,0.461564
109,9-1-3,9,1,9-1,3,N,0.770927,0.7779
110,9-1-4,9,1,9-1,4,N,1.573585,0.852452
111,9-1-5,9,1,9-1,5,N,1.133117,1.008661
112,9-1-6,9,1,9-1,6,N,1.619769,1.116433
113,9-2-1,9,2,9-2,1,N,0.229881,0.481361
114,9-2-2,9,2,9-2,2,N,0.36577,0.500236
115,9-2-3,9,2,9-2,3,N,1.163975,0.837003
116,9-2-4,9,2,9-2,4,N,1.193828,0.915804
117,9-2-5,9,2,9-2,5,N,0.949619,0.8791
118,9-2-6,9,2,9-2,6,N,1.190498,0.854201
119,10-1-1,10,1,10-1,1,N,-0.839822,0.151691
120,10-1-2,10,1,10-1,2,N,-0.083667,-0.176737
121,10-1-3,10,1,10-1,3,N,-0.318639,-0.107682
122,10-1-4,10,1,10-1,4,N,-0.290739,-0.133923
123,10-1-5,10,1,10-1,5,N,0.066706,-0.038089
124,10-1-6,10,1,10-1,6,N,0.176952,0.01302
125,10-1-7,10,1,10-1,7,N,0.084834,0.10482
126,10-1-8,10,1,10-1,8,N,0.427553,0.116868
127,10-1-9,10,1,10-1,9,N,0.331042,0.01302
128,10-1-10,10,1,10-1,10,N,0.527052,0.10482
129,10-1-11,10,1,10-1,11,N,0.613314,0.116868
130,10-2-1,10,2,10-2,1,N,-0.785003,-0.122417
131,10-2-2,10,2,10-2,2,N,-0.019598,-0.137189
132,10-2-3,10,2,10-2,3,N,-0.760385,-0.039007
133,10-2-4,10,2,10-2,4,N,-0.038072,0.159836
134,10-2-5,10,2,10-2,5,N,0.437849,0.153452
135,10-2-6,10,2,10-2,6,N,0.667945,0.226037
136,10-2-7,10,2,10-2,7,N,0.034851,0.170897
137,10-2-8,10,2,10-2,8,N,1.134749,0.207663
138,10-2-9,10,2,10-2,9,N,0.164919,0.226037
139,10-2-10,10,2,10-2,10,N,0.814479,0.170897
140,10-2-11,10,2,10-2,11,N,0.728657,0.207663
141,12-1-1,12,1,12-1,1,N,0.444627,-0.119841
142,12-1-2,12,1,12-1,2,N,0.444627,-0.220701
143,12-1-3,12,1,12-1,3,N,-1.726735,-0.084548
144,12-1-4,12,1,12-1,4,N,-1.695873,-0.214546
145,12-2-1,12,2,12-2,1,N,0.444627,-0.148051
146,12-2-2,12,2,12-2,2,N,-1.818243,-0.22187
147,12-2-3,12,2,12-2,3,N,-1.709168,-0.184045
148,12-2-4,12,2,12-2,4,N,-0.091374,-0.336235
149,12-3-1,12,3,12-3,1,N,0.444627,-0.148051
150,12-3-2,12,3,12-3,2,N,0.444627,-0.220701
151,12-3-3,12,3,12-3,3,N,0.444627,-0.084548
152,12-3-4,12,3,12-3,4,N,-1.551729,-0.214546
153,13-2-1,13,2,13-2,1,N,0.444627,0.244594
154,13-2-2,13,2,13-2,2,N,0.444627,0.215713
155,13-2-3,13,2,13-2,3,N,0.444627,0.254001
156,13-2-4,13,2,13-2,4,N,-0.988501,0.18671
157,14-1-1,14,1,14-1,1,N,0.444627,0.36314
158,14-1-2,14,1,14-1,2,N,0.444627,0.152251
159,14-1-3,14,1,14-1,3,N,0.444627,0.355894
160,14-1-4,14,1,14-1,4,N,-0.612486,0.373275
161,14-2-1,14,2,14-2,1,N,0.444627,0.273209
162,14-2-2,14,2,14-2,2,N,0.444627,0.325047
163,14-2-3,14,2,14-2,3,N,0.444627,0.316354
164,14-2-4,14,2,14-2,4,N,-1.235169,0.174585
165,14-3-1,14,3,14-3,1,N,0.444627,0.296843
166,14-3-2,14,3,14-3,2,N,0.444627,0.112102
167,14-3-3,14,3,14-3,3,N,0.444627,-0.097838
168,14-3-4,14,3,14-3,4,N,-0.596147,-0.162456
