,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type,obsv,pred
447,34-1-1,34,1,34-1,1,N,0.444627,-1.175398
448,34-1-2,34,1,34-1,2,N,-1.466425,-1.346812
449,34-1-3,34,1,34-1,3,N,-1.378584,-1.345806
450,34-1-4,34,1,34-1,4,N,-1.336048,-1.333257
451,34-1-5,34,1,34-1,5,N,-2.011637,-1.345806
452,34-1-6,34,1,34-1,6,N,-1.340357,-1.345806
453,34-1-7,34,1,34-1,7,N,-1.23955,-1.345806
454,34-2-1,34,2,34-2,1,N,0.444627,-1.193365
455,34-2-2,34,2,34-2,2,N,-2.514058,-1.346812
456,34-2-3,34,2,34-2,3,N,-1.332703,-1.345806
457,34-2-4,34,2,34-2,4,N,-1.248821,-1.333257
458,34-2-5,34,2,34-2,5,N,-0.314562,-1.345806
459,34-2-6,34,2,34-2,6,N,-0.825704,-1.345806
460,34-2-7,34,2,34-2,7,N,-1.338475,-1.345806
461,34-3-1,34,3,34-3,1,N,-0.925803,-1.220261
462,34-3-2,34,3,34-3,2,N,-2.689398,-1.346812
463,34-3-3,34,3,34-3,3,N,-2.834745,-1.345806
464,34-3-4,34,3,34-3,4,N,-2.046331,-1.333257
465,34-3-5,34,3,34-3,5,N,-0.078713,-1.345806
466,34-3-6,34,3,34-3,6,N,-1.113974,-1.345806
467,34-3-7,34,3,34-3,7,N,-2.453714,-1.345806
468,35-3-1,35,3,35-3,1,N,0.444627,-0.870265
469,35-3-2,35,3,35-3,2,N,-1.577489,-1.302507
470,35-3-3,35,3,35-3,3,N,-2.169052,-1.364761
471,35-3-4,35,3,35-3,4,N,-1.85375,-1.330612
472,35-3-5,35,3,35-3,5,N,-0.694488,-1.364761
473,35-3-6,35,3,35-3,6,N,-1.064983,-1.364761
474,35-3-7,35,3,35-3,7,N,-1.05915,-1.364761
475,36-1-1,36,1,36-1,1,N,0.444627,0.022022
476,36-1-2,36,1,36-1,2,N,0.444627,-0.251575
477,36-1-3,36,1,36-1,3,N,-0.525269,-0.375167
478,36-1-4,36,1,36-1,4,N,-1.04387,-0.723523
479,36-1-5,36,1,36-1,5,N,-0.329417,-0.591614
480,36-2-1,36,2,36-2,1,N,0.444627,0.11705
481,36-2-2,36,2,36-2,2,N,0.444627,-0.030267
482,36-2-3,36,2,36-2,3,N,0.444627,-0.371291
483,36-2-4,36,2,36-2,4,N,0.444627,-0.532329
484,36-2-5,36,2,36-2,5,N,-1.51408,-0.496586
485,36-3-1,36,3,36-3,1,N,0.444627,-0.105499
486,36-3-2,36,3,36-3,2,N,0.444627,-0.251575
487,36-3-3,36,3,36-3,3,N,-2.247445,-0.545821
488,36-3-4,36,3,36-3,4,N,-2.296456,-0.762121
489,36-3-5,36,3,36-3,5,N,-0.817676,-0.719135
490,37-1-1,37,1,37-1,1,N,0.444627,0.022022
491,37-1-2,37,1,37-1,2,N,0.444627,-0.251575
492,37-1-3,37,1,37-1,3,N,-1.36091,-0.375167
493,37-1-4,37,1,37-1,4,N,-0.685248,-0.723523
494,37-1-5,37,1,37-1,5,N,-1.839552,-0.591614
495,37-2-1,37,2,37-2,1,N,0.444627,0.11705
496,37-2-2,37,2,37-2,2,N,0.444627,-0.030267
497,37-2-3,37,2,37-2,3,N,0.444627,-0.371291
498,37-2-4,37,2,37-2,4,N,-0.804737,-0.532329
499,37-2-5,37,2,37-2,5,N,0.444627,-0.496586
500,37-3-1,37,3,37-3,1,N,0.444627,-0.105499
501,37-3-2,37,3,37-3,2,N,0.444627,-0.251575
502,37-3-3,37,3,37-3,3,N,-2.061637,-0.545821
503,37-3-4,37,3,37-3,4,N,0.444627,-0.762121
504,37-3-5,37,3,37-3,5,N,-1.675278,-0.719135
505,38-2-1,38,2,38-2,1,N,0.444627,0.115809
506,38-2-2,38,2,38-2,2,N,-2.222816,-0.030267
507,38-2-3,38,2,38-2,3,N,-0.548861,-0.507428
508,38-2-4,38,2,38-2,4,N,0.444627,-0.465892
509,38-2-5,38,2,38-2,5,N,0.444627,-0.497828
510,38-3-1,38,3,38-3,1,N,0.444627,-0.105499
511,38-3-2,38,3,38-3,2,N,-2.141987,-0.251575
512,38-3-3,38,3,38-3,3,N,0.444627,-0.686213
513,38-3-4,38,3,38-3,4,N,-1.460562,-0.81441
514,38-3-5,38,3,38-3,5,N,0.444627,-0.719135
515,46-1-1,46,1,46-1,1,NPK,0.444627,0.444627
516,46-1-2,46,1,46-1,2,NPK,0.444627,0.349292
517,46-1-3,46,1,46-1,3,NPK,0.444627,0.444627
518,46-1-4,46,1,46-1,4,NPK,0.444627,0.444627
519,46-1-5,46,1,46-1,5,NPK,0.444627,0.349292
520,46-1-6,46,1,46-1,6,NPK,0.444627,0.131505
521,46-1-7,46,1,46-1,7,NPK,0.444627,0.444627
522,46-1-8,46,1,46-1,8,NPK,0.444627,0.444627
523,46-1-9,46,1,46-1,9,NPK,0.444627,0.444627
524,46-1-10,46,1,46-1,10,NPK,0.444627,0.444627
525,46-1-11,46,1,46-1,11,NPK,0.444627,0.444627
526,46-2-1,46,2,46-2,1,NPK,0.444627,0.444627
527,46-2-2,46,2,46-2,2,NPK,0.444627,0.349292
528,46-2-3,46,2,46-2,3,NPK,0.444627,0.444627
529,46-2-4,46,2,46-2,4,NPK,0.444627,0.444627
530,46-2-5,46,2,46-2,5,NPK,0.444627,0.349292
531,46-2-6,46,2,46-2,6,NPK,0.444627,0.19473
532,46-2-7,46,2,46-2,7,NPK,0.444627,0.444627
533,46-2-8,46,2,46-2,8,NPK,0.444627,0.444627
534,46-2-9,46,2,46-2,9,NPK,0.444627,0.444627
535,46-2-10,46,2,46-2,10,NPK,0.444627,0.444627
536,46-2-11,46,2,46-2,11,NPK,0.444627,0.444627
537,46-3-1,46,3,46-3,1,NPK,0.444627,0.444627
538,46-3-2,46,3,46-3,2,NPK,0.444627,0.349292
539,46-3-3,46,3,46-3,3,NPK,0.444627,0.444627
540,46-3-4,46,3,46-3,4,NPK,0.444627,0.444627
541,46-3-5,46,3,46-3,5,NPK,0.444627,0.349292
542,46-3-6,46,3,46-3,6,NPK,0.444627,0.108927
543,46-3-7,46,3,46-3,7,NPK,0.444627,0.444627
544,46-3-8,46,3,46-3,8,NPK,0.444627,0.444627
545,46-3-9,46,3,46-3,9,NPK,0.444627,0.444627
546,46-3-10,46,3,46-3,10,NPK,0.444627,0.444627
547,46-3-11,46,3,46-3,11,NPK,0.444627,0.444627
548,47-1-1,47,1,47-1,1,NPK,0.444627,0.444627
549,47-1-12,47,1,47-1,12,NPK,0.444627,0.444627
550,47-1-2,47,1,47-1,2,NPK,0.444627,0.349292
551,47-1-13,47,1,47-1,13,NPK,0.444627,0.349292
552,47-1-3,47,1,47-1,3,NPK,0.444627,0.444627
553,47-1-14,47,1,47-1,14,NPK,0.444627,0.444627
554,47-1-4,47,1,47-1,4,NPK,0.444627,0.444627
555,47-1-15,47,1,47-1,15,NPK,0.444627,0.444627
556,47-1-5,47,1,47-1,5,NPK,0.444627,0.349292
557,47-1-16,47,1,47-1,16,NPK,0.444627,0.349292
558,47-1-6,47,1,47-1,6,NPK,0.444627,0.108927
559,47-1-17,47,1,47-1,17,NPK,0.444627,0.108927
560,47-1-7,47,1,47-1,7,NPK,0.444627,0.444627
561,47-1-18,47,1,47-1,18,NPK,0.444627,0.444627
562,47-1-8,47,1,47-1,8,NPK,0.444627,0.444627
563,47-1-19,47,1,47-1,19,NPK,0.444627,0.444627
564,47-1-9,47,1,47-1,9,NPK,0.444627,0.444627
565,47-1-20,47,1,47-1,20,NPK,0.444627,0.444627
566,47-1-10,47,1,47-1,10,NPK,0.444627,0.444627
567,47-1-21,47,1,47-1,21,NPK,0.444627,0.444627
568,47-1-11,47,1,47-1,11,NPK,0.444627,0.444627
569,47-1-22,47,1,47-1,22,NPK,0.444627,0.444627
570,47-2-1,47,2,47-2,1,NPK,0.444627,0.444627
571,47-2-12,47,2,47-2,12,NPK,0.444627,0.444627
572,47-2-2,47,2,47-2,2,NPK,0.444627,0.349292
573,47-2-13,47,2,47-2,13,NPK,0.444627,0.349292
574,47-2-3,47,2,47-2,3,NPK,0.444627,0.444627
575,47-2-14,47,2,47-2,14,NPK,0.444627,0.444627
576,47-2-4,47,2,47-2,4,NPK,0.444627,0.444627
577,47-2-15,47,2,47-2,15,NPK,0.444627,0.444627
578,47-2-5,47,2,47-2,5,NPK,0.444627,0.349292
579,47-2-16,47,2,47-2,16,NPK,-1.36674,0.349292
580,47-2-6,47,2,47-2,6,NPK,0.444627,0.237612
581,47-2-17,47,2,47-2,17,NPK,0.444627,0.237612
582,47-2-7,47,2,47-2,7,NPK,0.444627,0.444627
583,47-2-18,47,2,47-2,18,NPK,0.444627,0.444627
584,47-2-8,47,2,47-2,8,NPK,0.444627,0.349292
585,47-2-19,47,2,47-2,19,NPK,0.444627,0.349292
586,47-2-9,47,2,47-2,9,NPK,0.444627,0.444627
587,47-2-20,47,2,47-2,20,NPK,0.444627,0.444627
588,47-2-10,47,2,47-2,10,NPK,0.444627,0.444627
589,47-2-21,47,2,47-2,21,NPK,0.444627,0.444627
590,47-2-11,47,2,47-2,11,NPK,0.444627,0.349292
591,47-2-22,47,2,47-2,22,NPK,0.444627,0.349292
592,49-2-1,49,2,49-2,1,NPK,0.444627,0.26731
593,49-2-2,49,2,49-2,2,NPK,0.444627,0.295492
594,49-2-3,49,2,49-2,3,NPK,0.444627,-0.068137
595,49-2-4,49,2,49-2,4,NPK,0.444627,0.289692
596,49-2-5,49,2,49-2,5,NPK,0.444627,0.137445
597,49-2-6,49,2,49-2,6,NPK,0.444627,-0.113933
598,49-2-7,49,2,49-2,7,NPK,0.444627,0.233077
599,49-2-8,49,2,49-2,8,NPK,0.444627,0.363522
600,49-2-9,49,2,49-2,9,NPK,0.444627,0.385086
601,49-2-10,49,2,49-2,10,NPK,0.444627,0.363522
602,49-2-11,49,2,49-2,11,NPK,0.444627,0.363522
603,49-3-1,49,3,49-3,1,NPK,0.444627,0.206
604,49-3-2,49,3,49-3,2,NPK,0.444627,0.363522
605,49-3-3,49,3,49-3,3,NPK,0.444627,0.444627
606,49-3-4,49,3,49-3,4,NPK,0.444627,0.363522
607,49-3-5,49,3,49-3,5,NPK,-1.096371,0.268187
608,49-3-6,49,3,49-3,6,NPK,0.444627,0.045942
609,49-3-7,49,3,49-3,7,NPK,0.444627,0.290505
610,49-3-8,49,3,49-3,8,NPK,0.444627,0.23691
611,49-3-9,49,3,49-3,9,NPK,0.444627,0.363522
612,49-3-10,49,3,49-3,10,NPK,0.444627,0.363522
613,49-3-11,49,3,49-3,11,NPK,0.444627,0.363522
614,50-2-1,50,2,50-2,1,NPK,0.444627,0.295726
615,50-2-12,50,2,50-2,12,NPK,0.444627,0.295726
616,50-2-2,50,2,50-2,2,NPK,0.444627,0.444627
617,50-2-13,50,2,50-2,13,NPK,0.444627,0.444627
618,50-2-3,50,2,50-2,3,NPK,-1.17115,0.295726
619,50-2-14,50,2,50-2,14,NPK,-0.768717,0.295726
620,50-2-4,50,2,50-2,4,NPK,0.444627,0.295726
621,50-2-15,50,2,50-2,15,NPK,0.444627,0.295726
622,50-2-5,50,2,50-2,5,NPK,0.444627,0.444627
623,50-2-16,50,2,50-2,16,NPK,0.444627,0.444627
624,50-2-6,50,2,50-2,6,NPK,0.444627,0.444627
625,50-2-17,50,2,50-2,17,NPK,0.444627,0.444627
626,50-2-7,50,2,50-2,7,NPK,0.444627,0.444627
627,50-2-18,50,2,50-2,18,NPK,0.444627,0.444627
628,50-2-8,50,2,50-2,8,NPK,0.444627,0.444627
629,50-2-19,50,2,50-2,19,NPK,0.444627,0.444627
630,50-2-9,50,2,50-2,9,NPK,0.444627,0.444627
631,50-2-20,50,2,50-2,20,NPK,0.444627,0.444627
632,50-2-10,50,2,50-2,10,NPK,0.444627,0.444627
633,50-2-21,50,2,50-2,21,NPK,0.444627,0.444627
634,50-2-11,50,2,50-2,11,NPK,0.444627,0.335442
635,50-2-22,50,2,50-2,22,NPK,0.444627,0.335442
636,50-3-1,50,3,50-3,1,NPK,0.444627,0.444627
637,50-3-12,50,3,50-3,12,NPK,0.444627,0.444627
638,50-3-2,50,3,50-3,2,NPK,0.444627,0.335442
639,50-3-13,50,3,50-3,13,NPK,0.444627,0.335442
640,50-3-3,50,3,50-3,3,NPK,0.444627,0.186541
641,50-3-14,50,3,50-3,14,NPK,0.444627,0.186541
642,50-3-4,50,3,50-3,4,NPK,0.444627,0.186541
643,50-3-15,50,3,50-3,15,NPK,0.444627,0.186541
644,50-3-5,50,3,50-3,5,NPK,0.444627,0.335442
645,50-3-16,50,3,50-3,16,NPK,0.444627,0.335442
646,50-3-6,50,3,50-3,6,NPK,0.444627,0.047067
647,50-3-17,50,3,50-3,17,NPK,0.444627,0.047067
648,50-3-7,50,3,50-3,7,NPK,0.444627,0.335442
649,50-3-18,50,3,50-3,18,NPK,0.444627,0.335442
650,50-3-8,50,3,50-3,8,NPK,0.444627,0.335442
651,50-3-19,50,3,50-3,19,NPK,0.444627,0.335442
652,50-3-9,50,3,50-3,9,NPK,0.444627,0.444627
653,50-3-20,50,3,50-3,20,NPK,0.444627,0.444627
654,50-3-10,50,3,50-3,10,NPK,0.444627,0.444627
655,50-3-21,50,3,50-3,21,NPK,0.444627,0.444627
656,50-3-11,50,3,50-3,11,NPK,0.444627,0.335442
657,50-3-22,50,3,50-3,22,NPK,-1.629885,0.335442
658,51-1-1,51,1,51-1,1,N,-0.810944,-0.485593
659,51-1-2,51,1,51-1,2,N,0.444627,-0.474062
660,51-1-3,51,1,51-1,3,N,0.444627,-0.481258
661,51-1-4,51,1,51-1,4,N,-1.158712,-0.315968
662,51-1-5,51,1,51-1,5,N,0.224645,-0.315968
663,51-1-6,51,1,51-1,6,N,-1.102319,-0.33066
664,51-1-7,51,1,51-1,7,N,-1.263874,-0.33066
665,51-1-8,51,1,51-1,8,N,-0.772948,-0.395002
666,51-1-9,51,1,51-1,9,N,-0.222218,-0.395002
667,51-1-10,51,1,51-1,10,N,0.444627,-0.398754
668,51-2-1,51,2,51-2,1,N,-0.603255,-0.388426
669,51-2-2,51,2,51-2,2,N,0.444627,-0.467478
670,51-2-3,51,2,51-2,3,N,-0.977845,-0.338379
671,51-2-4,51,2,51-2,4,N,-0.506753,-0.352612
672,51-2-5,51,2,51-2,5,N,-1.139078,-0.352612
673,51-2-6,51,2,51-2,6,N,0.444627,-0.220613
674,51-2-7,51,2,51-2,7,N,-1.830367,-0.220613
675,51-2-8,51,2,51-2,8,N,0.444627,-0.224347
676,51-2-9,51,2,51-2,9,N,0.444627,-0.224347
677,51-2-10,51,2,51-2,10,N,0.444627,-0.238655
678,52-1-1,52,1,52-1,1,N,0.225536,-0.259851
679,52-1-2,52,1,52-1,2,N,0.444627,-0.227765
680,52-1-3,52,1,52-1,3,N,-0.528285,-0.194284
681,52-1-4,52,1,52-1,4,N,0.737725,-0.167259
682,52-1-5,52,1,52-1,5,N,-0.814661,-0.167259
683,52-1-6,52,1,52-1,6,N,-0.041863,-0.115991
684,52-1-7,52,1,52-1,7,N,0.188022,-0.115991
685,52-1-8,52,1,52-1,8,N,-0.690013,-0.039064
686,52-1-9,52,1,52-1,9,N,-0.002791,-0.039064
687,52-1-10,52,1,52-1,10,N,0.00638,-0.039064
688,52-2-1,52,2,52-2,1,N,0.305625,-0.326769
689,52-2-2,52,2,52-2,2,N,-1.353517,-0.339085
690,52-2-3,52,2,52-2,3,N,-1.647993,-0.280642
691,52-2-4,52,2,52-2,4,N,-0.87701,-0.383641
692,52-2-5,52,2,52-2,5,N,0.060534,-0.383641
693,52-2-6,52,2,52-2,6,N,0.53877,-0.185908
694,52-2-7,52,2,52-2,7,N,0.312615,-0.185908
695,52-2-8,52,2,52-2,8,N,1.184666,-0.025697
696,52-2-9,52,2,52-2,9,N,-0.335487,-0.025697
697,52-2-10,52,2,52-2,10,N,-0.703273,-0.025697
698,53-1-1,53,1,53-1,1,N,-0.10928,-0.165742
699,53-1-2,53,1,53-1,2,N,-0.790546,-0.164988
700,53-1-3,53,1,53-1,3,N,0.148168,-0.249919
701,53-1-4,53,1,53-1,4,N,0.343632,-0.117221
702,53-1-5,53,1,53-1,5,N,0.141306,-0.117221
703,53-1-6,53,1,53-1,6,N,-0.513372,0.034242
704,53-1-7,53,1,53-1,7,N,0.477585,0.034242
705,53-1-8,53,1,53-1,8,N,0.158557,0.10576
706,53-1-9,53,1,53-1,9,N,0.099689,0.10576
707,53-1-10,53,1,53-1,10,N,0.252215,-0.142822
708,54-1-2,54,1,54-1,2,K,-0.328185,-0.381868
709,54-1-3,54,1,54-1,3,K,-0.316129,-0.381868
710,54-1-4,54,1,54-1,4,K,-0.485599,-0.381868
711,54-1-5,54,1,54-1,5,K,-0.921917,-0.381868
712,54-1-6,54,1,54-1,6,K,-0.065133,-0.381868
713,54-1-7,54,1,54-1,7,K,-1.008752,-0.406121
714,54-1-8,54,1,54-1,8,K,-0.012046,-0.406121
715,54-1-9,54,1,54-1,9,K,-0.193891,-0.406121
716,54-1-10,54,1,54-1,10,K,-0.866429,-0.433535
717,54-2-1,54,2,54-2,1,K,-0.252069,-0.406121
718,54-2-2,54,2,54-2,2,K,-0.324789,-0.381868
719,54-2-4,54,2,54-2,4,K,-0.320671,-0.381868
720,54-2-5,54,2,54-2,5,K,-0.655078,-0.381868
721,54-2-6,54,2,54-2,6,K,-1.171934,-0.381868
722,54-2-8,54,2,54-2,8,K,-0.747215,-0.406121
723,54-2-9,54,2,54-2,9,K,-0.011402,-0.406121
724,54-2-10,54,2,54-2,10,K,-0.924308,-0.433535
725,57-1-1,57,1,57-1,1,N,0.410058,0.576476
726,57-1-2,57,1,57-1,2,N,0.704673,0.543246
727,57-1-3,57,1,57-1,3,N,0.692209,0.567601
728,57-1-4,57,1,57-1,4,N,1.375218,0.79489
729,57-1-5,57,1,57-1,5,N,0.87887,0.79489
730,57-2-1,57,2,57-2,1,N,0.444627,0.444994
731,57-2-2,57,2,57-2,2,N,-0.545779,0.434252
732,57-2-3,57,2,57-2,3,N,0.662055,0.751347
733,57-2-4,57,2,57-2,4,N,0.511961,0.899616
734,57-2-5,57,2,57-2,5,N,0.963445,0.899616
735,58-1-1,58,1,58-1,1,N,-0.225237,0.599428
736,58-1-2,58,1,58-1,2,N,1.023528,0.550212
737,58-1-3,58,1,58-1,3,N,0.473184,0.747326
738,58-1-4,58,1,58-1,4,N,0.452696,0.805112
739,58-1-5,58,1,58-1,5,N,-0.681155,0.858755
740,58-2-1,58,2,58-2,1,N,-0.445936,0.475397
741,58-2-2,58,2,58-2,2,N,-0.173191,0.452151
742,58-2-3,58,2,58-2,3,N,-0.21029,0.795612
743,58-2-4,58,2,58-2,4,N,0.765062,0.810436
744,58-2-5,58,2,58-2,5,N,0.215284,0.810436
745,60-1-1,60,1,60-1,1,N,0.494292,0.573512
746,60-1-2,60,1,60-1,2,N,-1.044786,0.54271
747,60-1-3,60,1,60-1,3,N,0.734804,0.584431
748,60-1-4,60,1,60-1,4,N,0.945006,0.938835
749,60-1-5,60,1,60-1,5,N,0.976133,0.739459
750,60-2-1,60,2,60-2,1,N,0.472016,0.492242
751,60-2-2,60,2,60-2,2,N,0.823397,0.493028
752,60-2-3,60,2,60-2,3,N,0.672498,0.66105
753,60-2-4,60,2,60-2,4,N,1.318905,0.879601
754,60-2-5,60,2,60-2,5,N,1.26917,0.804619
755,62-1-1,62,1,62-1,1,N,0.386044,0.749199
756,62-1-2,62,1,62-1,2,N,0.62117,0.887412
757,62-1-3,62,1,62-1,3,N,0.958584,0.95746
758,62-1-4,62,1,62-1,4,N,1.295596,1.041246
759,62-1-5,62,1,62-1,5,N,0.317454,1.041246
760,62-2-1,62,2,62-2,1,N,0.931659,0.749199
761,62-2-2,62,2,62-2,2,N,0.860106,0.887412
762,62-2-3,62,2,62-2,3,N,1.125552,0.95746
763,62-2-4,62,2,62-2,4,N,1.296512,1.039004
764,62-2-5,62,2,62-2,5,N,0.860079,1.05328
765,63-2-1,63,2,63-2,1,N,-1.597167,0.10375
766,63-2-2,63,2,63-2,2,N,0.444627,0.431415
767,63-2-3,63,2,63-2,3,N,-1.224232,0.565122
768,63-2-4,63,2,63-2,4,N,0.444627,0.491023
769,63-2-5,63,2,63-2,5,N,-1.125748,0.40551
770,64-1-1,64,1,64-1,1,N,-0.737491,0.339274
771,64-1-2,64,1,64-1,2,N,0.444627,0.350543
772,64-1-3,64,1,64-1,3,N,-0.794259,0.448462
773,64-1-4,64,1,64-1,4,N,0.259386,0.551525
774,64-1-5,64,1,64-1,5,N,-0.979753,0.436733
775,64-2-1,64,2,64-2,1,N,-1.580504,0.402663
776,64-2-2,64,2,64-2,2,N,-1.306272,0.44663
777,64-2-3,64,2,64-2,3,N,0.121549,0.489378
778,64-2-4,64,2,64-2,4,N,1.381042,0.64337
779,64-2-5,64,2,64-2,5,N,0.031093,0.489378
780,65-1-1,65,1,65-1,1,N,1.588733,0.427222
781,65-1-2,65,1,65-1,2,N,1.944689,0.635693
782,65-1-3,65,1,65-1,3,N,2.028967,0.516003
783,65-1-4,65,1,65-1,4,N,1.949456,0.690104
784,65-1-5,65,1,65-1,5,N,1.854562,0.690104
785,66-1-1,66,1,66-1,1,N,2.027797,0.507351
786,66-1-2,66,1,66-1,2,N,1.403795,0.821349
787,66-1-3,66,1,66-1,3,N,2.065848,0.837466
788,66-1-4,66,1,66-1,4,N,2.582314,0.93926
789,66-1-5,66,1,66-1,5,N,2.581163,0.960265
790,67-2-1,67,2,67-2,1,N,1.507267,0.299446
791,67-2-2,67,2,67-2,2,N,1.47038,0.33754
792,67-2-3,67,2,67-2,3,N,2.113904,0.444008
793,67-2-4,67,2,67-2,4,N,1.601564,0.660729
794,67-2-5,67,2,67-2,5,N,1.619562,0.587068
795,68-1-1,68,1,68-1,1,N,-1.715186,-1.16994
796,68-1-2,68,1,68-1,2,N,-0.919554,-0.83016
797,68-1-3,68,1,68-1,3,N,-0.236555,-0.943934
798,68-1-4,68,1,68-1,4,N,-0.093606,-0.544959
799,68-1-5,68,1,68-1,5,N,-0.55965,-0.600079
800,68-1-6,68,1,68-1,6,N,0.17701,-0.567793
801,68-1-7,68,1,68-1,7,N,-0.499087,-0.525113
802,68-1-8,68,1,68-1,8,N,-0.278343,-0.668896
803,68-1-9,68,1,68-1,9,N,-0.309702,-0.603146
804,68-2-1,68,2,68-2,1,N,-0.68848,-1.001294
805,68-2-2,68,2,68-2,2,N,-1.430828,-0.721764
806,68-2-3,68,2,68-2,3,N,-0.190209,-0.719883
807,68-2-4,68,2,68-2,4,N,-0.567357,-0.481935
808,68-2-5,68,2,68-2,5,N,-0.45954,-0.580292
809,68-2-6,68,2,68-2,6,N,-0.396182,-0.597355
810,68-2-7,68,2,68-2,7,N,-0.039139,-0.586208
811,68-2-8,68,2,68-2,8,N,-0.54109,-0.749977
812,68-2-9,68,2,68-2,9,N,-0.859135,-0.472896
813,68-3-1,68,3,68-3,1,N,-0.813929,-1.001294
814,68-3-2,68,3,68-3,2,N,-0.958137,-0.704134
815,68-3-3,68,3,68-3,3,N,-0.46281,-0.779112
816,68-3-4,68,3,68-3,4,N,-0.453632,-0.589359
817,68-3-5,68,3,68-3,5,N,-0.627954,-0.583077
818,68-3-6,68,3,68-3,6,N,-0.70449,-0.626642
819,68-3-7,68,3,68-3,7,N,-0.611975,-0.614528
820,68-3-8,68,3,68-3,8,N,0.102133,-0.853235
821,68-3-9,68,3,68-3,9,N,-1.091972,-0.67653
822,69-1-1,69,1,69-1,1,N,-2.947894,-1.024312
823,69-1-2,69,1,69-1,2,N,-2.278187,-1.697726
824,69-1-3,69,1,69-1,3,N,-2.672848,-1.624193
825,69-1-4,69,1,69-1,4,N,-3.229896,-1.459105
826,69-1-5,69,1,69-1,5,N,-1.733515,-1.459105
827,69-1-6,69,1,69-1,6,N,0.444627,-1.448225
828,69-1-7,69,1,69-1,7,N,-1.750056,-1.040174
829,69-1-8,69,1,69-1,8,N,-2.101065,-1.624193
830,69-1-9,69,1,69-1,9,N,-2.182605,-1.459105
831,69-3-1,69,3,69-3,1,N,0.444627,-0.999433
832,69-3-2,69,3,69-3,2,N,0.444627,-1.518025
833,69-3-3,69,3,69-3,3,N,-2.053496,-1.753935
834,69-3-4,69,3,69-3,4,N,-1.586678,-1.593077
835,69-3-5,69,3,69-3,5,N,-2.294611,-1.593077
836,69-3-6,69,3,69-3,6,N,-2.933821,-1.366657
837,69-3-7,69,3,69-3,7,N,0.444627,-1.240581
838,69-3-8,69,3,69-3,8,N,-3.048241,-1.753935
839,69-3-9,69,3,69-3,9,N,-3.242937,-1.593077
840,70-1-1,70,1,70-1,1,N,-1.353898,-1.024312
841,70-1-2,70,1,70-1,2,N,-1.198836,-1.697726
842,70-1-3,70,1,70-1,3,N,-0.967659,-1.624193
843,70-1-4,70,1,70-1,4,N,-0.85508,-1.459105
844,70-1-5,70,1,70-1,5,N,-0.698821,-1.459105
845,70-1-6,70,1,70-1,6,N,-1.13482,-1.448225
846,70-1-7,70,1,70-1,7,N,-0.867443,-1.040174
847,70-1-8,70,1,70-1,8,N,-1.121635,-1.624193
848,70-1-9,70,1,70-1,9,N,-1.161076,-1.459105
849,70-2-1,70,2,70-2,1,N,-0.979401,-1.024312
850,70-2-2,70,2,70-2,2,N,-0.919395,-1.3679
851,70-2-3,70,2,70-2,3,N,-1.047414,-1.596777
852,70-2-4,70,2,70-2,4,N,-0.799709,-1.391147
853,70-2-5,70,2,70-2,5,N,-1.334317,-1.391147
854,70-2-6,70,2,70-2,6,N,-0.716181,-1.448225
855,70-2-7,70,2,70-2,7,N,-1.105159,-0.995527
856,70-2-8,70,2,70-2,8,N,-1.45587,-1.596777
857,70-2-9,70,2,70-2,9,N,-0.334169,-1.391147
858,71-1-1,71,1,71-1,1,N,-2.759645,-1.025686
859,71-1-2,71,1,71-1,2,N,-2.089127,-1.494835
860,71-1-3,71,1,71-1,3,N,-2.572435,-1.368978
861,71-1-4,71,1,71-1,4,N,-1.798745,-1.058813
862,71-1-5,71,1,71-1,5,N,-1.495284,-1.1162
863,71-1-6,71,1,71-1,6,N,-0.426299,-0.948243
864,71-1-7,71,1,71-1,7,N,-1.003041,-0.877788
865,71-1-8,71,1,71-1,8,N,-1.721914,-1.574637
866,71-1-9,71,1,71-1,9,N,-1.342721,-1.091754
867,71-2-1,71,2,71-2,1,N,0.444627,-1.025686
868,71-2-2,71,2,71-2,2,N,-2.928304,-1.445984
869,71-2-3,71,2,71-2,3,N,-1.873386,-1.480719
870,71-2-4,71,2,71-2,4,N,-1.550571,-1.040762
871,71-2-5,71,2,71-2,5,N,-1.871723,-1.041078
872,71-2-6,71,2,71-2,6,N,-1.792745,-0.948243
873,71-2-7,71,2,71-2,7,N,-1.595438,-0.877788
874,71-2-8,71,2,71-2,8,N,-2.552973,-1.487771
875,71-2-9,71,2,71-2,9,N,-1.287856,-0.955848
876,71-3-1,71,3,71-3,1,N,0.444627,-1.091925
877,71-3-2,71,3,71-3,2,N,0.444627,-1.558978
878,71-3-3,71,3,71-3,3,N,-2.845166,-1.321548
879,71-3-4,71,3,71-3,4,N,-1.117685,-1.023259
880,71-3-5,71,3,71-3,5,N,-1.702258,-0.930596
881,71-3-6,71,3,71-3,6,N,-0.98134,-0.772105
882,71-3-7,71,3,71-3,7,N,-1.360219,-0.837907
883,71-3-8,71,3,71-3,8,N,-1.908314,-1.574637
884,71-3-9,71,3,71-3,9,N,-1.474814,-1.035492
885,72-1-1,72,1,72-1,1,N,-1.060259,-1.025686
886,72-1-2,72,1,72-1,2,N,-0.650934,-1.482397
887,72-1-3,72,1,72-1,3,N,-1.117889,-1.372298
888,72-1-4,72,1,72-1,4,N,0.141369,-0.946332
