,NtotDose,PtotDose,KtotDose,P,ilr_knn,ilr_rf,ilr_nn,ilr_gp
0,0.41124939744000033,0.0,0.6395381279882549,0.0,-2.54983051142066,-1.7352535085361365,-1.8177948401566586,-2.488334101474992
1,0.41124939744000033,1.0,0.6395381279882549,0.436,-2.54983051142066,-1.7352535085361365,-1.817039372056047,-2.489837908066052
2,0.41124939744000033,2.0,0.6395381279882549,0.872,-2.54983051142066,-1.7352535085361365,-1.816249379431857,-2.4913209553066977
3,0.41124939744000033,3.0,0.6395381279882549,1.308,-2.54983051142066,-1.7352535085361365,-1.8154248721159791,-2.492782836993334
4,0.41124939744000033,4.0,0.6395381279882549,1.744,-2.54983051142066,-1.7352535085361365,-1.8145658636708812,-2.494223143235894
5,0.41124939744000033,5.0,0.6395381279882549,2.18,-2.54983051142066,-1.7352535085361365,-1.8136723713991505,-2.495641460529048
6,0.41124939744000033,6.0,0.6395381279882549,2.616,-2.54983051142066,-1.7352535085361365,-1.8127444163520998,-2.497037371828309
7,0.41124939744000033,7.0,0.6395381279882549,3.052,-2.54983051142066,-1.7352535085361365,-1.8117820233375208,-2.4984104566277012
8,0.41124939744000033,8.0,0.6395381279882549,3.488,-2.54983051142066,-1.7352535085361365,-1.810785220926517,-2.499760291041584
9,0.41124939744000033,9.0,0.6395381279882549,3.924,-2.5498305114206596,-1.7352535085361365,-1.8097540414594309,-2.5010864478886603
10,0.41124939744000033,10.0,0.6395381279882549,4.36,-2.54983051142066,-1.7352535085361365,-1.8086885210508827,-2.5023884967795302
11,0.41124939744000033,11.0,0.6395381279882549,4.796,-2.5498305114206596,-1.7352535085361365,-1.80758869959388,-2.503666004208132
12,0.41124939744000033,12.0,0.6395381279882549,5.232,-2.5498305114206596,-1.7352535085361365,-1.806454620763021,-2.504918533644281
13,0.41124939744000033,13.0,0.6395381279882549,5.668,-2.5498305114206596,-1.7352535085361365,-1.8052863320167778,-2.506145645631578
14,0.41124939744000033,14.0,0.6395381279882549,6.104,-2.5498305114206596,-1.7352535085361365,-1.804083884598867,-2.507346897887198
15,0.41124939744000033,15.0,0.6395381279882549,6.54,-2.5498305114206596,-1.7352535085361365,-1.8028473335386836,-2.508521845404896
16,0.41124939744000033,16.0,0.6395381279882549,6.976,-2.5498305114206596,-1.7352535085361365,-1.8015767376508263,-2.5096700405618124
17,0.41124939744000033,17.0,0.6395381279882549,7.412,-2.54983051142066,-1.802427455812615,-1.8002721595336904,-2.51079103322704
18,0.41124939744000033,18.0,0.6395381279882549,7.848,-2.5498305114206596,-1.802427455812615,-1.7989336655671349,-2.5118843708753493
19,0.41124939744000033,19.0,0.6395381279882549,8.284,-2.54983051142066,-1.802427455812615,-1.7975613259092256,-2.5129495987018373
20,0.41124939744000033,20.0,0.6395381279882549,8.72,-2.5498305114206596,-1.802427455812615,-1.7961552144920514,-2.5139862597416154
21,0.41124939744000033,21.0,0.6395381279882549,9.156,-2.5498305114206596,-1.802427455812615,-1.7947154090166135,-2.514993894990332
22,0.41124939744000033,22.0,0.6395381279882549,9.592,-2.5498305114206596,-1.802427455812615,-1.7932419909467905,-2.5159720435306556
23,0.41124939744000033,23.0,0.6395381279882549,10.028,-2.4981705109717787,-1.802427455812615,-1.7917350455023797,-2.5169202426592263
24,0.41124939744000033,24.0,0.6395381279882549,10.464,-2.4981705109717787,-1.802427455812615,-1.7901946616512185,-2.517838028018084
25,0.41124939744000033,25.0,0.6395381279882549,10.9,-2.4981705109717787,-1.802427455812615,-1.7886209321003776,-2.5187249337283557
26,0.41124939744000033,26.0,0.6395381279882549,11.336,-2.4981705109717787,-1.8109328981635961,-1.7870139532864484,-2.5195804925272776
27,0.41124939744000033,27.0,0.6395381279882549,11.772,-2.4981705109717787,-1.8109328981635961,-1.785373825364907,-2.520404235908446
28,0.41124939744000033,28.0,0.6395381279882549,12.208,-2.76387074725245,-1.8109328981635961,-1.783700652198569,-2.5211956942642617
29,0.41124939744000033,29.0,0.6395381279882549,12.644,-2.76387074725245,-1.8109328981635961,-1.7819945413451346,-2.5219543970319656
30,0.41124939744000033,30.0,0.6395381279882549,13.08,-2.76387074725245,-1.8109328981635961,-1.7802556040438366,-2.522679872841959
31,0.41124939744000033,31.0,0.6395381279882549,13.516,-2.76387074725245,-1.8109328981635961,-1.7784839552011777,-2.5233716496690852
32,0.41124939744000033,32.0,0.6395381279882549,13.952,-2.76387074725245,-1.8109328981635961,-1.7766797133757861,-2.5240292549872443
33,0.41124939744000033,33.0,0.6395381279882549,14.388,-2.76387074725245,-1.8109328981635961,-1.7748430007623681,-2.5246522159259266
34,0.41124939744000033,34.0,0.6395381279882549,14.824,-2.76387074725245,-1.8109328981635961,-1.7729739431747908,-2.525240059429698
35,0.41124939744000033,35.0,0.6395381279882549,15.26,-2.76387074725245,-1.8109328981635961,-1.7710726700282733,-2.525792312420399
36,0.41124939744000033,36.0,0.6395381279882549,15.696,-2.76387074725245,-1.8109328981635961,-1.7691393143207144,-2.5263085019618616
37,0.41124939744000033,37.0,0.6395381279882549,16.132,-2.810721062018482,-1.8109328981635961,-1.7671740126131563,-2.526788155427841
38,0.41124939744000033,38.0,0.6395381279882549,16.568,-2.810721062018482,-1.8109328981635961,-1.7651769050093848,-2.5272308006703694
39,0.41124939744000033,39.0,0.6395381279882549,17.004,-2.810721062018482,-1.8109328981635961,-1.763148135134678,-2.5276359661932304
40,0.41124939744000033,40.0,0.6395381279882549,17.44,-2.8500970524856335,-1.8109328981635961,-1.7610878501137204,-2.5280031813255386
