X,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type,obsv,pred,index,tsizeMS_L,tsizeS_M,RendGros,RendMoy,RendPetit
42,2-3-3,2,3,2-3,3,N,1.052894,1.315719,43,0.6036947105414554,0.38310186225397286,14.279,8.938,5.1993
43,2-3-4,2,3,2-3,4,N,1.509166,1.36253,44,1.0565366891889367,0.44124734928058074,28.4599,10.6602,5.7116
44,2-3-5,2,3,2-3,5,N,1.761312,1.402454,45,1.3067870993622073,0.3320916055659292,24.0454,6.1367,3.8368
45,2-3-6,2,3,2-3,6,N,1.793354,1.370056,46,1.3385884483957187,0.6163663604828199,28.6561,8.6001,3.597
46,2-3-7,2,3,2-3,7,N,1.563577,1.443151,47,1.110538426830816,1.1007814978251176,27.7514,15.5107,3.27
47,2-3-8,2,3,2-3,8,N,1.735205,1.443151,48,1.2808760925437865,0.7585366660465406,24.5141,8.7309,2.9866
48,3-2-1,3,2,3-2,1,N,1.384274,1.175854,60,0.9325832134006772,0.7992440673022608,26.446125,14.85125,4.796
49,3-2-2,3,2,3-2,2,N,1.369744,1.125487,61,0.9181623405912804,0.8791473883936164,20.73725,12.5418125,3.6174375
50,3-2-3,3,2,3-2,3,N,1.320008,1.071915,62,0.8688001081943999,0.665959723192722,25.1994375,13.92475,5.4295625
51,3-2-4,3,2,3-2,4,N,1.305397,1.071915,63,0.8542995007005718,0.729174155377139,20.4306875,12.01725,4.2850625
52,3-2-5,3,2,3-2,5,N,1.562705,1.02256,64,1.109673154919665,1.2268495142376366,26.1395625,15.9889375,2.820375
53,3-2-6,3,2,3-2,6,N,1.501527,1.02256,65,1.0489547206507956,0.7949725233785073,29.3686875,14.2585625,4.6325
54,3-2-7,3,2,3-2,7,N,1.421786,0.984249,66,0.9698135595649092,0.749722255937819,26.5755625,13.7680625,4.76875
55,3-2-8,3,2,3-2,8,N,1.761681,0.984249,67,1.3071528411724247,1.3228185122249225,31.4124375,16.145625,2.4865625
56,3-2-9,3,2,3-2,9,N,1.374186,1.02256,68,0.9225717067857055,0.7698217287525984,31.90975,17.767,5.981375
57,3-2-10,3,2,3-2,10,N,1.967761,0.984249,69,1.5116837549655011,1.528683692767872,34.784625,16.0979375,1.853
58,3-2-11,3,2,3-2,11,N,1.971489,0.984249,70,1.515383609614211,1.3944872531844856,29.5594375,12.385125,1.7235625
59,4-1-1,4,1,4-1,1,N,0.444627,-0.491481,82,4.163336342344337e-17,0.3748133228316485,0,12.73740201,7.496802685
60,4-1-2,4,1,4-1,2,N,-1.977613,-0.452288,83,-2.4040308623808104,0.10808207374970424,0.895318792,18.36000403,15.75761074
61,4-1-3,4,1,4-1,3,N,0.444627,-0.482925,84,4.5102810375396984e-17,-0.03456824488842433,0,17.63181141,18.51519262
62,4-1-4,4,1,4-1,4,N,-2.075994,-0.480986,85,-2.501671646301699,0.3761850347607585,0.931131544,26.0119953,15.28010738
63,4-1-5,4,1,4-1,5,N,-0.464575,-0.332333,86,-0.9023669513412352,0.9280339168106997,4.655657718,27.09831544,7.293863758
64,4-1-6,4,1,4-1,6,N,-1.867057,-0.131563,87,-2.294305527042299,1.0285538237852805,0.931131544,32.00466242,7.472927517
65,4-2-1,4,2,4-2,1,N,0.444627,-0.375717,88,2.7755575615628914e-17,-0.42030813431592173,0,8.18918255,14.83841678
66,4-2-2,4,2,4-2,2,N,-2.032592,-0.284899,89,-2.4585959562937307,0.24361665034520008,0.740130201,17.8586255,12.65383893
67,4-2-3,4,2,4-2,3,N,-2.041398,-0.399922,90,-2.4673357305799852,0.14159016381987377,0.811755705,18.41969195,15.07716846
68,4-2-4,4,2,4-2,4,N,-0.612782,-0.479978,91,-1.04945962989331,0.5639654989217551,3.664838255,19.74476376,8.8935
69,4-2-5,4,2,4-2,5,N,-0.755027,-0.126564,92,-1.1906353196819612,0.7494279988237583,3.5574,25.97618255,9.000938255
70,4-2-6,4,2,4-2,6,N,-0.443912,0.287222,93,-0.881858934518849,0.5707652031563204,5.049597987,22.26359396,9.932069799
71,6-2-1,6,2,6-2,1,N,0.444627,-0.353372,124,-2.7755575615628914e-17,0.5256752288758715,0,15.3397953,7.293863758
72,6-2-2,6,2,6-2,2,N,0.444627,-0.361322,125,-4.163336342344337e-17,-0.3959803445986941,0,8.857687248,15.50692148
73,6-2-3,6,2,6-2,3,N,-0.357197,-0.267083,126,-0.795796129166748,0.8986358525614091,3.724526174,18.63456846,5.228661745
74,6-2-4,6,2,6-2,4,N,0.092077,-0.241271,127,-0.3499000022540422,1.0847713910155363,5.861353691,19.37469866,4.178154362
75,6-2-5,6,2,6-2,5,N,0.83079,-0.121064,128,0.383260660903593,0.9609519636784407,13.63272081,16.8200557,4.321405369
76,6-2-6,6,2,6-2,6,N,0.015591,-0.005277,129,-0.42581093744868315,1.3123385681714343,6.04041745,25.73743087,4.022965772
77,7-1-1,7,1,7-1,1,N,-0.736133,-0.05355,136,-1.1718832643019697,0.9249007183232009,2.721769128,21.98902953,5.944916779
78,7-1-2,7,1,7-1,2,N,-0.043154,-0.043297,137,-0.4841136539442712,0.9895277007740624,6.983486577,25.43600688,6.276184732
79,7-1-3,7,1,7-1,3,N,0.037181,0.137134,138,-0.4043825420084061,1.2470908515294568,5.864338087,23.24247584,3.984168624
80,7-1-4,7,1,7-1,4,N,0.871813,0.242627,139,0.4239750956863887,1.0831310644356433,14.46835168,18.51519262,4.002075
81,7-1-5,7,1,7-1,5,N,0.2397,0.689228,140,-0.20338641919450956,1.2818836888992462,8.102635067,25.73146208,4.199045134
82,7-1-6,7,1,7-1,6,N,0.843944,0.730766,141,0.39631532395109303,1.4741961874854348,13.36710956,23.33200772,2.900832886
83,7-2-1,7,2,7-2,1,N,-0.195172,-0.082026,142,-0.6349889652359976,1.122643540917744,4.47659396,21.55032332,4.404968456
84,7-2-2,7,2,7-2,2,N,-0.701833,-0.058883,143,-1.1378411192375273,1.1562022669493692,3.482790101,31.78381711,6.19560604
85,7-2-3,7,2,7-2,3,N,0.974058,0.061923,144,0.5254516153355695,1.2583941745759413,17.21698037,22.02484228,3.715572987
86,7-2-4,7,2,7-2,4,N,0.61835,0.006527,145,0.17241738653028732,1.0433947579128602,12.25691426,20.7534896,4.745189597
87,7-2-5,7,2,7-2,5,N,-0.08976,0.06158,146,-0.5303691124381411,1.4137367222368495,5.425631879,28.22940151,3.823011242
88,7-2-6,7,2,7-2,6,N,0.312594,0.496177,147,-0.13104038327795747,1.7261798410843188,7.753460738,30.85268557,2.685956376
89,8-1-1,8,1,8-1,1,N,0.444627,-0.260844,154,-4.85722573273506e-17,0.15682361310372767,0,14.08208557,11.28101678
90,8-1-2,8,1,8-1,2,N,0.444627,-0.426705,155,0,0.48915976813276935,0,27.97231711,14.00534396
91,8-1-3,8,1,8-1,3,N,-2.369826,-0.60222,156,-2.7932949942353105,0.8055995917507839,0.818577181,44.2799094,14.17161745
92,8-1-4,8,1,8-1,4,N,-0.921377,-0.544035,157,-1.3557349523723425,0.8033407484397651,4.118466443,38.24290268,12.27865772
93,8-1-5,8,1,8-1,5,N,-0.430864,-0.375256,158,-0.868909695403596,0.9683163699147059,5.487025168,31.54080201,8.019498322
