RendVendable,NoEssai,NoBloc,NoTraitement,ID,ID_bl,DensitePlants,PrecCropFiveClasses,Cultivar,Maturity5,growing.season,temp_moy_5years,prec_tot_5years,sdi_5years,gdd_5years,NtotDose,PtotDose,KtotDose,soilTextIlr1,soilTextIlr2,soilTextIlr3,soilTypeIlr1_3,soilTypeIlr2_3,soil_pH,soil_P1_Fv.AlP,soil_P1_Al.P,soil_K2_FvMgCa.K,soil_K2_Fv.MgCa,soil_K2_Mg.Ca,soil_P,soil_K,soil_Al,ISP1,test_type
18.9442,1,1,1,1-1-1,1-1,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,0,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.48386,-6.916624324074098,3.2504068154640087,-3.022950612173176,-7.010071296441057,1.6197339662073469,20.98738007,99.53035894,2081.180812,1.0084361699371653,N
40.3518,1,1,2,1-1-2,1-1,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,70,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.48386,-6.916624324074098,3.2504068154640087,-3.022950612173176,-7.010071296441057,1.6197339662073469,20.98738007,99.53035894,2081.180812,1.0084361699371653,N
33.0379,1,1,3,1-1-3,1-1,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,100,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.48386,-6.916624324074098,3.2504068154640087,-3.022950612173176,-7.010071296441057,1.6197339662073469,20.98738007,99.53035894,2081.180812,1.0084361699371653,N
37.5505,1,1,4,1-1-4,1-1,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,130,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.48386,-6.916624324074098,3.2504068154640087,-3.022950612173176,-7.010071296441057,1.6197339662073469,20.98738007,99.53035894,2081.180812,1.0084361699371653,N
46.0089,1,1,5,1-1-5,1-1,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,160,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.48386,-6.916624324074098,3.2504068154640087,-3.022950612173176,-7.010071296441057,1.6197339662073469,20.98738007,99.53035894,2081.180812,1.0084361699371653,N
41.0167,1,1,6,1-1-6,1-1,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,190,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.48386,-6.916624324074098,3.2504068154640087,-3.022950612173176,-7.010071296441057,1.6197339662073469,20.98738007,99.53035894,2081.180812,1.0084361699371653,N
46.7937,1,1,7,1-1-7,1-1,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,220,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.48386,-6.916624324074098,3.2504068154640087,-3.022950612173176,-7.010071296441057,1.6197339662073469,20.98738007,99.53035894,2081.180812,1.0084361699371653,N
47.0117,1,1,8,1-1-8,1-1,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,250,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.48386,-6.916624324074098,3.2504068154640087,-3.022950612173176,-7.010071296441057,1.6197339662073469,20.98738007,99.53035894,2081.180812,1.0084361699371653,N
15.1183,1,2,1,1-2-1,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,0,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
36.2643,1,2,2,1-2-2,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,70,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
44.8208,1,2,3,1-2-3,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,100,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
43.7962,1,2,4,1-2-4,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,130,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
42.9569,1,2,5,1-2-5,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,160,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
49.2462,1,2,6,1-2-6,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,190,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
41.8669,1,2,7,1-2-7,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,220,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
49.5841,1,2,8,1-2-8,1-2,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,250,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.59098,-7.080196892624967,3.3593112035876223,-2.36442946941714,-6.7429482181627725,1.8922619587539207,15.90806474,264.6448774,1840.163419,0.8644919562983662,N
26.5524,1,3,1,1-3-1,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,0,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
37.3761,1,3,2,1-3-2,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,70,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
43.3275,1,3,3,1-3-3,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,100,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
40.4935,1,3,4,1-3-4,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,130,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
43.8616,1,3,5,1-3-5,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,160,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
45.998,1,3,6,1-3-6,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,190,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
42.074,1,3,7,1-3-7,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,220,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
54.5109,1,3,8,1-3-8,1-3,31226,Cereal,Goldrush,mid-season,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,250,190,270,1.6655421506181551,2.6862868792897086,0.754024324770664,-0.272357335846828,-1.0272606698480418,5.53021,-6.97092365906085,3.3307583274947548,-3.1460370299275615,-6.887970986093311,1.8642891850898835,18.55285847,95.37452537,2061.166724,0.9001143989941495,N
13.0255,2,1,1,2-1-1,2-1,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,0,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.812430000000001,-6.746571224150253,2.74138949446196,-2.8229736221995054,-6.556050468250005,1.982824344540048,37.05485602,181.497948,1788.816689,2.071473071995696,N
28.4817,2,1,2,2-1-2,2-1,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,70,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.812430000000001,-6.746571224150253,2.74138949446196,-2.8229736221995054,-6.556050468250005,1.982824344540048,37.05485602,181.497948,1788.816689,2.071473071995696,N
42.7825,2,1,3,2-1-3,2-1,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,100,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.812430000000001,-6.746571224150253,2.74138949446196,-2.8229736221995054,-6.556050468250005,1.982824344540048,37.05485602,181.497948,1788.816689,2.071473071995696,N
37.2671,2,1,4,2-1-4,2-1,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,130,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.812430000000001,-6.746571224150253,2.74138949446196,-2.8229736221995054,-6.556050468250005,1.982824344540048,37.05485602,181.497948,1788.816689,2.071473071995696,N
51.7423,2,1,5,2-1-5,2-1,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,160,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.812430000000001,-6.746571224150253,2.74138949446196,-2.8229736221995054,-6.556050468250005,1.982824344540048,37.05485602,181.497948,1788.816689,2.071473071995696,N
34.5421,2,1,6,2-1-6,2-1,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,190,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.812430000000001,-6.746571224150253,2.74138949446196,-2.8229736221995054,-6.556050468250005,1.982824344540048,37.05485602,181.497948,1788.816689,2.071473071995696,N
50.9248,2,1,7,2-1-7,2-1,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,220,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.812430000000001,-6.746571224150253,2.74138949446196,-2.8229736221995054,-6.556050468250005,1.982824344540048,37.05485602,181.497948,1788.816689,2.071473071995696,N
41.747,2,1,8,2-1-8,2-1,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,250,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.812430000000001,-6.746571224150253,2.74138949446196,-2.8229736221995054,-6.556050468250005,1.982824344540048,37.05485602,181.497948,1788.816689,2.071473071995696,N
12.2734,2,2,1,2-2-1,2-2,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,0,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.56832,-6.6883819084681395,2.817499369002927,-2.849963893521383,-6.694893735635993,1.7335851422689759,37.69809993,157.1380014,2026.682529,1.8600890564049462,N
40.3518,2,2,2,2-2-2,2-2,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,70,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.56832,-6.6883819084681395,2.817499369002927,-2.849963893521383,-6.694893735635993,1.7335851422689759,37.69809993,157.1380014,2026.682529,1.8600890564049462,N
43.5455,2,2,3,2-2-3,2-2,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,100,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.56832,-6.6883819084681395,2.817499369002927,-2.849963893521383,-6.694893735635993,1.7335851422689759,37.69809993,157.1380014,2026.682529,1.8600890564049462,N
53.2356,2,2,4,2-2-4,2-2,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,130,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.56832,-6.6883819084681395,2.817499369002927,-2.849963893521383,-6.694893735635993,1.7335851422689759,37.69809993,157.1380014,2026.682529,1.8600890564049462,N
46.4885,2,2,5,2-2-5,2-2,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,160,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.56832,-6.6883819084681395,2.817499369002927,-2.849963893521383,-6.694893735635993,1.7335851422689759,37.69809993,157.1380014,2026.682529,1.8600890564049462,N
40.9731,2,2,6,2-2-6,2-2,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,190,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.56832,-6.6883819084681395,2.817499369002927,-2.849963893521383,-6.694893735635993,1.7335851422689759,37.69809993,157.1380014,2026.682529,1.8600890564049462,N
63.7432,2,2,7,2-2-7,2-2,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,220,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.56832,-6.6883819084681395,2.817499369002927,-2.849963893521383,-6.694893735635993,1.7335851422689759,37.69809993,157.1380014,2026.682529,1.8600890564049462,N
37.4633,2,2,8,2-2-8,2-2,31226,Cereal,Eramosa,early,121,17.10193087192588,394.12,-0.7266141706720602,1951.7,250,190,270,1.7012050538343186,2.686286879289708,0.7540243247706642,-0.272357335846828,-1.0272606698480418,5.56832,-6.6883819084681395,2.817499369002927,-2.849963893521383,-6.694893735635993,1.7335851422689759,37.69809993,157.1380014,2026.682529,1.8600890564049462,N
